new_column,ts_code,trade_date,open,high,low,close,vol
0,AAPL,2018-09-06,226.23,227.35,221.3,223.1,34289976
1,AAPL,2018-09-07,221.85,225.37,220.71,221.3,37619810
2,AAPL,2018-09-10,220.95,221.85,216.47,218.33,39516453
3,AAPL,2018-09-11,218.01,224.3,216.56,223.85,35749049
4,AAPL,2018-09-12,224.94,225.0,219.84,221.07,49278740
5,AAPL,2018-09-13,223.52,228.35,222.57,226.41,41706377
6,AAPL,2018-09-14,225.75,226.84,222.52,223.84,31999289
7,AAPL,2018-09-17,222.15,222.95,217.27,217.88,37195133
8,AAPL,2018-09-18,217.79,221.85,217.12,218.24,31571712
9,AAPL,2018-09-19,218.5,219.62,215.3,218.37,27123833
10,AAPL,2018-09-20,220.24,222.28,219.15,220.03,26608794
11,AAPL,2018-09-21,220.78,221.36,217.29,217.66,96246748
12,AAPL,2018-09-24,216.82,221.26,216.63,220.79,27693358
13,AAPL,2018-09-25,219.75,222.82,219.7,222.19,24554379
14,AAPL,2018-09-26,221.0,223.75,219.76,220.42,23984706
15,AAPL,2018-09-27,223.82,226.44,223.54,224.95,30181227
16,AAPL,2018-09-28,224.79,225.84,224.02,225.74,22929364
17,AAPL,2018-10-01,227.95,229.42,226.35,227.26,23600802
18,AAPL,2018-10-02,227.25,230.0,226.63,229.28,24788170
19,AAPL,2018-10-03,230.05,233.47,229.78,232.07,28654799
20,AAPL,2018-10-04,230.78,232.35,226.73,227.99,32042000
21,AAPL,2018-10-05,227.96,228.41,220.58,224.29,33580463
22,AAPL,2018-10-08,222.21,224.8,220.2,223.77,29663923
23,AAPL,2018-10-09,223.64,227.27,222.25,226.87,26891029
24,AAPL,2018-10-10,225.46,226.35,216.05,216.36,41990554
25,AAPL,2018-10-11,214.52,219.5,212.32,214.45,53124392
26,AAPL,2018-10-12,220.42,222.88,216.84,222.11,40337851
27,AAPL,2018-10-15,221.16,221.83,217.27,217.36,30791007
28,AAPL,2018-10-16,218.93,222.99,216.76,222.15,29183963
29,AAPL,2018-10-17,222.3,222.64,219.34,221.19,22885397
30,AAPL,2018-10-18,217.86,219.74,213.0,216.02,32581315
31,AAPL,2018-10-19,218.06,221.26,217.43,219.31,33078726
32,AAPL,2018-10-22,219.79,223.36,218.94,220.65,28792082
33,AAPL,2018-10-23,215.83,223.25,214.7,222.73,38767846
34,AAPL,2018-10-24,222.6,224.23,214.54,215.09,40925163
35,AAPL,2018-10-25,217.71,221.38,216.75,219.8,29855768
36,AAPL,2018-10-26,215.9,220.19,212.67,216.3,47258375
37,AAPL,2018-10-29,219.19,219.69,206.09,212.24,45935520
38,AAPL,2018-10-30,211.15,215.18,209.27,213.3,36659990
39,AAPL,2018-10-31,216.88,220.45,216.62,218.86,38358933
40,AAPL,2018-11-01,219.05,222.36,216.81,222.22,58323180
41,AAPL,2018-11-02,209.55,213.65,205.43,207.48,91328654
42,AAPL,2018-11-05,204.3,204.39,198.17,201.59,66163669
43,AAPL,2018-11-06,201.92,204.72,201.69,203.77,31882881
44,AAPL,2018-11-07,205.97,210.06,204.13,209.95,33424434
45,AAPL,2018-11-08,209.98,210.12,206.75,208.49,25362636
46,AAPL,2018-11-09,205.55,206.01,202.25,204.47,34365750
47,AAPL,2018-11-12,199.0,199.85,193.79,194.17,51135518
48,AAPL,2018-11-13,191.63,197.18,191.45,192.23,46882936
49,AAPL,2018-11-14,193.9,194.48,185.93,186.8,60800957
50,AAPL,2018-11-15,188.39,191.97,186.9,191.41,46478801
51,AAPL,2018-11-16,190.5,194.97,189.46,193.53,36928253
52,AAPL,2018-11-19,190.0,190.7,184.99,185.86,41920872
53,AAPL,2018-11-20,178.37,181.47,175.51,176.98,67825247
54,AAPL,2018-11-21,179.73,180.27,176.55,176.78,31124210
55,AAPL,2018-11-23,174.94,176.595,172.1,172.29,23623972
56,AAPL,2018-11-26,174.24,174.95,170.26,174.62,44998520
57,AAPL,2018-11-27,171.51,174.77,170.88,174.24,41387377
58,AAPL,2018-11-28,176.73,181.29,174.93,180.94,46062539
59,AAPL,2018-11-29,182.66,182.8,177.7,179.55,41769992
60,AAPL,2018-11-30,180.29,180.33,177.03,178.58,39531549
61,AAPL,2018-12-03,184.46,184.94,181.21,184.82,40798002
62,AAPL,2018-12-04,180.95,182.39,176.27,176.69,41344282
63,AAPL,2018-12-06,171.76,174.78,170.42,174.72,43098410
64,AAPL,2018-12-07,173.49,174.49,168.3,168.49,42281631
65,AAPL,2018-12-10,165.0,170.09,163.33,169.6,62025994
66,AAPL,2018-12-11,171.66,171.79,167.0,168.63,47281665
67,AAPL,2018-12-12,170.4,171.92,169.02,169.1,35627674
68,AAPL,2018-12-13,170.49,172.57,169.55,170.95,31897827
69,AAPL,2018-12-14,169.0,169.08,165.28,165.48,40703710
70,AAPL,2018-12-17,165.45,168.35,162.73,163.94,44287922
71,AAPL,2018-12-18,165.38,167.53,164.39,166.07,33841518
72,AAPL,2018-12-19,166.0,167.45,159.09,160.89,49047297
73,AAPL,2018-12-20,160.4,162.11,155.3,156.83,64772960
