new_column,ts_code,trade_date,open,high,low,close,vol
0,ABBV,2018-09-06,94.79,95.08,92.79,93.74,5416272
1,ABBV,2018-09-07,93.65,94.35,91.6,94.17,4051703
2,ABBV,2018-09-10,94.98,95.17,93.7,93.82,3156842
3,ABBV,2018-09-11,93.72,93.733,92.88,93.18,2638845
4,ABBV,2018-09-12,92.39,93.94,92.04,93.24,3304688
5,ABBV,2018-09-13,93.42,96.37,93.41,96.33,4850698
6,ABBV,2018-09-14,96.29,96.4,94.92,95.68,3446014
7,ABBV,2018-09-17,95.4,96.16,94.8,95.37,3987164
8,ABBV,2018-09-18,95.35,96.06,92.41,92.61,10240547
9,ABBV,2018-09-19,91.71,92.24,90.4,91.02,8451404
10,ABBV,2018-09-20,91.43,93.12,90.62,92.68,5991182
11,ABBV,2018-09-21,92.85,93.33,92.05,92.26,9953913
12,ABBV,2018-09-24,92.3,93.98,91.95,93.42,5910344
13,ABBV,2018-09-25,93.48,94.64,93.4,93.78,5303922
14,ABBV,2018-09-26,94.29,95.11,93.85,94.18,4656187
15,ABBV,2018-09-27,94.35,94.89,93.96,94.14,3028631
16,ABBV,2018-09-28,94.0,95.16,93.84,94.58,4527939
17,ABBV,2018-10-01,94.74,95.64,94.33,95.0,3763759
18,ABBV,2018-10-02,95.34,95.35,93.47,94.23,6792176
19,ABBV,2018-10-03,94.64,96.6,94.6,96.01,4797161
20,ABBV,2018-10-04,95.81,95.81,93.26,93.84,4425398
21,ABBV,2018-10-05,94.1,95.27,92.91,94.38,4190230
22,ABBV,2018-10-08,94.07,95.37,93.75,94.81,3305475
23,ABBV,2018-10-09,94.71,95.26,93.8,94.57,3625991
24,ABBV,2018-10-10,93.85,95.39,92.99,93.08,5310755
25,ABBV,2018-10-11,93.0,93.38,89.61,90.7,9994881
26,ABBV,2018-10-12,90.71,91.08,88.9,90.69,5709644
27,ABBV,2018-10-15,90.51,90.6,89.18,89.18,4827936
28,ABBV,2018-10-16,89.78,91.98,89.53,91.91,3787230
29,ABBV,2018-10-17,91.82,92.41,90.83,92.27,2857516
30,ABBV,2018-10-18,91.85,92.4,89.22,89.9,4422552
