new_column,ts_code,trade_date,open,high,low,close,vol
0,BAC,2018-09-06,31.05,31.11,30.73,30.85,42666015
1,BAC,2018-09-07,31.0,31.12,30.63,30.86,49103817
2,BAC,2018-09-10,30.88,31.0,30.75,30.82,34149198
3,BAC,2018-09-11,30.72,30.9,30.7,30.85,53071044
4,BAC,2018-09-12,30.88,30.96,30.38,30.43,59482315
5,BAC,2018-09-13,30.53,30.67,30.08,30.14,59219530
6,BAC,2018-09-14,30.13,30.39,30.11,30.37,33743874
7,BAC,2018-09-17,30.34,30.49,30.15,30.28,35026584
8,BAC,2018-09-18,30.33,30.4,30.13,30.21,49921737
9,BAC,2018-09-19,30.13,31.2,30.13,31.0,92666317
10,BAC,2018-09-20,31.3,31.37,31.14,31.19,83357431
11,BAC,2018-09-21,31.34,31.37,30.97,31.03,85992133
12,BAC,2018-09-24,30.98,31.2,30.66,30.74,45587684
13,BAC,2018-09-25,30.85,31.04,30.6,30.67,40949876
14,BAC,2018-09-26,30.71,30.74,30.06,30.13,57882434
15,BAC,2018-09-27,30.24,30.31,29.93,29.94,45879701
16,BAC,2018-09-28,29.65,29.85,29.42,29.46,74707597
17,BAC,2018-10-01,29.68,29.94,29.54,29.65,53900922
18,BAC,2018-10-02,29.58,29.72,29.27,29.58,42940345
19,BAC,2018-10-03,29.81,30.18,29.72,30.0,61080338
20,BAC,2018-10-04,30.17,30.79,30.14,30.43,72325733
21,BAC,2018-10-05,30.6,30.65,30.05,30.23,51930971
22,BAC,2018-10-08,30.05,30.42,29.91,30.27,47471601
23,BAC,2018-10-09,30.03,30.19,29.87,29.98,58868611
24,BAC,2018-10-10,29.98,30.13,29.21,29.24,88454393
25,BAC,2018-10-11,28.89,29.25,28.26,28.36,111417275
26,BAC,2018-10-12,28.99,29.04,27.73,28.46,102279154
27,BAC,2018-10-15,28.49,28.62,27.64,27.92,114636134
28,BAC,2018-10-16,28.24,28.58,27.9,28.53,87887771
29,BAC,2018-10-17,28.37,29.19,28.16,28.9,79068716
30,BAC,2018-10-18,28.67,28.9,28.14,28.25,77369189
31,BAC,2018-10-19,28.14,28.52,27.97,28.32,64305353
32,BAC,2018-10-22,28.32,28.35,27.31,27.38,89942875
33,BAC,2018-10-23,26.39,27.2,26.11,27.02,102392522
34,BAC,2018-10-24,26.86,26.9,26.08,26.19,86386606
35,BAC,2018-10-25,26.38,26.93,26.18,26.59,73780443
36,BAC,2018-10-26,26.33,26.58,25.88,26.39,91103496
37,BAC,2018-10-29,26.69,27.18,26.29,26.61,89366976
38,BAC,2018-10-30,26.76,26.86,26.32,26.78,79004847
39,BAC,2018-10-31,27.1,27.88,27.06,27.5,92296258
40,BAC,2018-11-01,27.77,28.0,27.61,27.81,49827340
41,BAC,2018-11-02,28.01,28.38,27.52,27.89,69010191
42,BAC,2018-11-05,27.95,28.24,27.89,28.06,41103070
43,BAC,2018-11-06,28.02,28.25,27.74,28.21,43514383
44,BAC,2018-11-07,28.42,28.67,28.14,28.54,56679198
45,BAC,2018-11-08,28.5,29.12,28.43,28.87,49421212
46,BAC,2018-11-09,28.75,28.89,28.38,28.52,43270614
47,BAC,2018-11-12,28.38,28.52,27.64,27.75,50307471
48,BAC,2018-11-13,27.75,28.14,27.69,27.76,57423447
49,BAC,2018-11-14,27.95,28.1,26.78,27.21,69213341
50,BAC,2018-11-15,27.14,27.97,26.88,27.9,66174810
51,BAC,2018-11-16,27.69,27.89,27.42,27.75,52456146
52,BAC,2018-11-19,27.78,28.02,27.54,27.75,45999950
53,BAC,2018-11-20,27.42,27.57,26.97,27.38,92330608
54,BAC,2018-11-21,27.59,27.76,27.25,27.27,40364427
55,BAC,2018-11-23,27.08,27.17,26.88,26.97,22974139
56,BAC,2018-11-26,27.18,27.73,27.1,27.56,53210681
57,BAC,2018-11-27,27.43,27.9,27.39,27.74,43617082
58,BAC,2018-11-28,27.88,28.47,27.56,28.43,61388131
59,BAC,2018-11-29,28.18,28.35,27.97,28.04,46824634
60,BAC,2018-11-30,27.94,28.63,27.87,28.4,64284619
61,BAC,2018-12-03,28.99,29.04,28.36,28.54,59905121
62,BAC,2018-12-04,28.32,28.32,26.73,26.99,103565701
63,BAC,2018-12-06,26.23,26.32,25.5321,26.28,133294174
64,BAC,2018-12-07,26.15,26.54,25.3,25.43,107477614
65,BAC,2018-12-10,25.18,25.23,24.29,24.76,110166901
66,BAC,2018-12-11,25.21,25.4,24.53,24.58,78545015
67,BAC,2018-12-12,24.87,24.99,24.37,24.52,87191846
68,BAC,2018-12-13,24.66,24.82,24.28,24.4,64860054
69,BAC,2018-12-14,24.18,24.87,24.12,24.48,92762595
