new_column,ts_code,trade_date,open,high,low,close,vol
0,COST,2018-09-06,235.47,236.77,235.06,236.68,1853243
1,COST,2018-09-07,237.31,242.95,237.2,241.46,2722823
2,COST,2018-09-10,243.0,243.8,242.12,243.18,2817471
3,COST,2018-09-11,243.93,245.16,243.17,244.21,2185657
4,COST,2018-09-12,245.0,245.12,242.23,242.44,1912116
5,COST,2018-09-13,242.5,243.99,241.05,241.27,2078161
6,COST,2018-09-14,239.0,239.0,234.47,235.38,3875326
7,COST,2018-09-17,234.06,234.59,231.51,232.0,2884630
8,COST,2018-09-18,231.98,235.47,231.7,234.35,2000248
9,COST,2018-09-19,234.62,234.74,232.42,233.85,1581403
10,COST,2018-09-20,234.6,235.0,232.32,233.92,1910100
11,COST,2018-09-21,234.37,235.84,234.01,234.76,3718002
12,COST,2018-09-24,234.19,234.85,232.9,233.34,1530454
13,COST,2018-09-25,234.03,234.66,232.73,232.93,1889791
14,COST,2018-09-26,233.57,235.66,233.45,233.81,2008481
15,COST,2018-09-27,233.7,235.67,232.34,234.0,1421368
16,COST,2018-09-28,233.86,235.47,233.79,234.88,1602808
17,COST,2018-10-01,235.81,236.53,234.43,234.65,1673068
18,COST,2018-10-02,234.1,237.57,233.87,236.35,1647638
19,COST,2018-10-03,236.62,237.31,232.73,233.2,2322277
20,COST,2018-10-04,233.26,234.0,230.66,231.68,2862779
21,COST,2018-10-05,225.0,227.06,217.79,218.82,7379000
22,COST,2018-10-08,219.34,224.5,219.26,223.93,3863457
23,COST,2018-10-09,224.15,225.15,222.56,224.17,2502767
24,COST,2018-10-10,224.1,225.0,221.04,221.05,3021443
25,COST,2018-10-11,222.91,225.32,220.93,221.82,3650928
26,COST,2018-10-12,225.2,227.62,223.39,226.95,3130467
27,COST,2018-10-15,226.25,226.94,224.25,224.51,2441901
28,COST,2018-10-16,224.87,228.26,224.32,227.68,2541811
29,COST,2018-10-17,228.45,228.88,225.51,228.49,2129262
30,COST,2018-10-18,228.54,230.65,226.25,228.58,2624596
31,COST,2018-10-19,228.9,230.63,228.72,229.67,2099838
32,COST,2018-10-22,229.88,230.25,227.27,229.06,2007324
33,COST,2018-10-23,227.07,229.26,223.82,228.75,2656674
34,COST,2018-10-24,225.93,231.09,223.09,223.76,3100203
35,COST,2018-10-25,224.06,227.59,222.84,226.4,2218870
36,COST,2018-10-26,222.31,225.0,217.0,218.19,3995362
37,COST,2018-10-29,219.75,224.89,218.75,222.42,3801401
38,COST,2018-10-30,223.1,228.21,223.01,227.92,2410593
39,COST,2018-10-31,228.65,230.56,225.56,228.63,2674561
40,COST,2018-11-01,228.18,230.8,227.54,229.6,2095039
41,COST,2018-11-02,229.81,232.23,227.18,230.16,2167412
42,COST,2018-11-05,230.71,234.89,229.8,234.45,2513883
43,COST,2018-11-06,235.0,237.49,234.18,236.71,2101471
44,COST,2018-11-07,238.75,240.88,236.94,240.37,2603891
45,COST,2018-11-08,238.51,239.8,237.03,238.7,2140624
46,COST,2018-11-09,237.97,240.26,237.07,237.74,2256718
47,COST,2018-11-12,237.64,239.2,234.13,234.48,2301381
48,COST,2018-11-13,234.75,236.42,232.77,234.14,1548087
49,COST,2018-11-14,237.12,237.12,231.71,233.31,1896480
50,COST,2018-11-15,232.32,232.65,227.0,229.94,2722281
51,COST,2018-11-16,229.3,231.12,226.52,231.02,2822396
52,COST,2018-11-19,231.61,233.5,227.81,228.74,1949496
53,COST,2018-11-20,224.92,225.0,218.05,219.31,3704770
54,COST,2018-11-21,220.56,222.03,217.45,218.57,2036736
55,COST,2018-11-23,218.1,221.18,217.6596,220.06,1007476
56,COST,2018-11-26,222.85,223.48,218.9,219.45,2205570
57,COST,2018-11-27,219.37,223.12,218.38,223.01,2369826
58,COST,2018-11-28,222.78,230.46,222.19,230.34,2765564
59,COST,2018-11-29,229.0,231.59,228.36,231.0,1478742
60,COST,2018-11-30,231.69,233.39,229.7,231.28,2764157
61,COST,2018-12-03,230.72,232.2,228.21,232.08,2481489
62,COST,2018-12-04,232.11,233.3,225.56,226.35,3418588
63,COST,2018-12-06,227.94,233.86,226.6,233.2,4029790
64,COST,2018-12-07,233.15,233.81,223.03,224.86,2881911
65,COST,2018-12-10,224.54,225.2,219.11,222.66,2649984
66,COST,2018-12-11,225.12,227.25,224.0,226.5,2466780
67,COST,2018-12-12,228.35,230.45,227.07,227.8,2891394
68,COST,2018-12-13,228.84,229.62,225.48,226.51,2170188
69,COST,2018-12-14,218.0,219.0,205.51,207.06,8822269
70,COST,2018-12-17,206.68,208.0,200.66,202.23,4739434
71,COST,2018-12-18,203.09,204.67,201.57,202.99,3308488
72,COST,2018-12-19,203.5,207.0,199.86,201.41,3369592
73,COST,2018-12-20,200.33,200.7,193.68,197.13,4250942
74,COST,2018-12-21,197.16,200.7,194.32,194.52,5080238
75,COST,2018-12-24,193.9,195.33,189.8,189.99,2031705
76,COST,2018-12-26,190.82,198.78,189.51,198.63,3268831
77,COST,2018-12-27,196.96,201.13,193.96,201.08,2705884
78,COST,2018-12-28,201.82,204.95,199.59,202.04,2037917
79,COST,2018-12-31,203.38,204.39,201.38,203.71,1729647
80,COST,2019-01-02,200.5,205.1,199.85,204.76,2143091
81,COST,2019-01-03,203.7,205.94,200.04,200.42,2877745
82,COST,2019-01-04,203.08,207.93,201.45,206.24,2761611
83,COST,2019-01-07,205.52,209.12,203.54,207.0,2226738
84,COST,2019-01-08,208.65,209.08,204.18,208.55,2366493
85,COST,2019-01-09,209.15,211.22,207.92,209.9,1862926
86,COST,2019-01-10,208.15,210.9,206.0,210.64,2340657
87,COST,2019-01-11,210.04,211.25,209.31,210.51,1861225
88,COST,2019-01-14,209.47,210.65,208.16,209.0,1523315
89,COST,2019-01-15,210.04,211.34,209.08,211.03,1681846
90,COST,2019-01-16,211.46,211.46,209.5,210.18,1455042
91,COST,2019-01-17,209.87,211.65,209.65,211.46,1517058
92,COST,2019-01-18,212.56,214.16,211.77,213.59,2115355
93,COST,2019-01-22,213.0,215.56,210.8,212.4,3310793
94,COST,2019-01-23,213.0,214.85,210.0,212.09,2220161
95,COST,2019-01-24,212.39,212.39,208.9,210.31,1994413
96,COST,2019-01-25,212.03,212.32,208.74,209.07,2252889
97,COST,2019-01-28,208.68,210.79,207.31,210.77,1999432
98,COST,2019-01-29,210.32,210.54,208.57,210.31,1636487
99,COST,2019-01-30,210.48,212.17,209.32,211.35,1590026
100,COST,2019-01-31,211.14,214.88,209.72,214.63,4341129
101,COST,2019-02-01,214.0,215.0,209.37,210.27,3453857
102,COST,2019-02-04,210.7,211.19,207.9,211.18,1630281
103,COST,2019-02-05,211.49,212.52,209.64,211.61,2074517
104,COST,2019-02-06,212.26,212.26,210.48,211.6,1618762
