new_column,ts_code,trade_date,open,high,low,close,vol
0,CSCO,2018-09-06,47.44,47.9,47.07,47.28,16537925
1,CSCO,2018-09-07,47.01,47.49,46.88,47.05,17229656
2,CSCO,2018-09-10,47.3,47.46,46.78,47.07,16597212
3,CSCO,2018-09-11,46.91,47.17,46.44,47.03,17291537
4,CSCO,2018-09-12,46.86,47.01,46.44,46.89,16649396
5,CSCO,2018-09-13,46.84,47.4,46.8,47.24,17972112
6,CSCO,2018-09-14,47.27,47.49,47.1,47.4,13936996
7,CSCO,2018-09-17,47.23,47.58,47.07,47.11,14430160
8,CSCO,2018-09-18,47.07,47.65,47.07,47.46,16469562
9,CSCO,2018-09-19,47.42,47.62,47.12,47.28,12721944
10,CSCO,2018-09-20,47.41,47.81,47.16,47.73,17007833
11,CSCO,2018-09-21,47.93,48.64,47.82,48.56,59664599
12,CSCO,2018-09-24,48.21,48.62,48.19,48.44,21819266
13,CSCO,2018-09-25,48.57,48.88,48.43,48.47,15810798
14,CSCO,2018-09-26,48.74,49.06,48.27,48.41,20080051
15,CSCO,2018-09-27,48.33,48.76,48.21,48.33,15910073
16,CSCO,2018-09-28,48.27,48.8,48.06,48.65,15474402
17,CSCO,2018-10-01,49.0,49.14,48.67,48.87,13669841
18,CSCO,2018-10-02,48.75,49.14,48.67,49.01,15671575
19,CSCO,2018-10-03,49.26,49.47,49.07,49.14,16737511
20,CSCO,2018-10-04,48.63,48.77,48.04,48.38,22110874
21,CSCO,2018-10-05,48.4,48.85,47.61,48.13,19103325
22,CSCO,2018-10-08,47.92,48.5,47.15,47.52,23791356
23,CSCO,2018-10-09,47.53,48.03,47.28,47.49,17008723
24,CSCO,2018-10-10,47.44,47.51,45.54,45.63,33055756
25,CSCO,2018-10-11,45.46,45.6,43.92,44.12,36496338
26,CSCO,2018-10-12,44.93,45.85,44.46,45.71,35423951
27,CSCO,2018-10-15,45.52,45.72,44.67,44.67,26160473
28,CSCO,2018-10-16,45.29,45.94,44.85,45.82,22669396
29,CSCO,2018-10-17,45.89,46.23,45.22,45.94,17803413
30,CSCO,2018-10-18,46.3,46.49,45.15,45.46,19044600
31,CSCO,2018-10-19,45.4,46.2,45.13,45.34,21356337
32,CSCO,2018-10-22,45.77,46.28,45.41,45.76,19195386
33,CSCO,2018-10-23,45.15,45.77,44.44,45.42,21836153
34,CSCO,2018-10-24,45.49,45.68,43.96,44.07,29588840
35,CSCO,2018-10-25,44.62,45.81,44.21,45.47,27054452
36,CSCO,2018-10-26,44.57,45.11,43.78,44.25,31806568
37,CSCO,2018-10-29,44.89,45.05,42.94,43.84,28214192
38,CSCO,2018-10-30,43.92,44.7,43.75,44.58,25924569
39,CSCO,2018-10-31,45.05,46.3,44.89,45.75,26023684
40,CSCO,2018-11-01,45.67,45.88,45.1,45.65,24662127
41,CSCO,2018-11-02,45.72,46.09,44.98,45.48,25581290
42,CSCO,2018-11-05,45.74,46.44,45.35,46.14,17524422
43,CSCO,2018-11-06,46.04,46.62,46.0,46.5,15446674
44,CSCO,2018-11-07,46.98,47.93,46.75,47.9,19990404
45,CSCO,2018-11-08,47.87,48.44,47.87,48.44,21002043
46,CSCO,2018-11-09,48.08,48.25,46.7,47.11,22015395
