new_column,ts_code,trade_date,open,high,low,close,vol
0,CVX,2018-09-06,117.89,118.51,115.14,115.23,8191096
1,CVX,2018-09-07,114.52,115.35,113.39,114.6,6637780
2,CVX,2018-09-10,115.43,115.72,114.38,114.48,5869320
3,CVX,2018-09-11,114.34,115.74,113.76,115.02,5605326
4,CVX,2018-09-12,116.42,117.49,115.76,115.79,5067934
5,CVX,2018-09-13,116.01,116.52,115.08,116.3,6297713
6,CVX,2018-09-14,116.43,117.61,116.35,117.38,4947777
7,CVX,2018-09-17,117.61,118.68,117.28,117.51,5560189
8,CVX,2018-09-18,118.5,118.9,117.98,118.13,4966268
9,CVX,2018-09-19,118.33,120.04,118.12,119.51,4855503
10,CVX,2018-09-20,120.19,121.32,119.11,119.42,5846714
11,CVX,2018-09-21,119.91,121.26,119.41,121.13,13703596
12,CVX,2018-09-24,121.91,122.98,121.57,122.62,6534374
13,CVX,2018-09-25,123.5,124.24,122.94,123.37,5396424
14,CVX,2018-09-26,122.99,123.42,121.74,121.95,4231391
15,CVX,2018-09-27,122.16,123.0,121.71,122.47,4533363
16,CVX,2018-09-28,121.99,123.21,121.76,122.28,5202877
17,CVX,2018-10-01,123.11,124.88,123.11,124.39,5351500
18,CVX,2018-10-02,125.07,125.76,124.32,124.74,5445431
19,CVX,2018-10-03,125.13,125.84,124.78,125.31,4479706
20,CVX,2018-10-04,124.79,125.59,124.19,124.95,4824327
21,CVX,2018-10-05,124.93,125.9,124.74,125.33,4317982
22,CVX,2018-10-08,124.05,125.46,123.83,124.84,6267680
23,CVX,2018-10-09,125.51,127.44,125.07,126.82,6797889
24,CVX,2018-10-10,127.23,127.6,122.46,122.6,6504440
25,CVX,2018-10-11,122.43,122.43,117.54,118.43,8590022
26,CVX,2018-10-12,119.53,119.68,116.18,117.77,7450700
27,CVX,2018-10-15,117.7,118.86,116.91,116.94,6047283
28,CVX,2018-10-16,117.09,117.68,116.34,117.51,4846133
29,CVX,2018-10-17,117.21,117.69,116.02,117.29,6978670
30,CVX,2018-10-18,117.42,118.14,116.05,117.47,7391635
31,CVX,2018-10-19,117.37,119.26,117.37,118.14,7944399
32,CVX,2018-10-22,118.1,118.49,116.48,117.21,5644939
33,CVX,2018-10-23,115.72,115.72,112.05,113.4,8095268
34,CVX,2018-10-24,113.72,114.18,110.07,110.21,8035224
35,CVX,2018-10-25,111.36,113.4,110.43,111.58,5734029
36,CVX,2018-10-26,110.63,112.47,109.66,111.53,8035522
37,CVX,2018-10-29,112.04,112.07,107.54,108.93,8598335
38,CVX,2018-10-30,109.62,111.15,108.15,110.85,7523837
39,CVX,2018-10-31,111.71,112.5,111.05,111.65,7429840
40,CVX,2018-11-01,111.77,111.99,110.1,111.17,10572032
41,CVX,2018-11-02,114.85,117.11,113.12,114.73,9890750
42,CVX,2018-11-05,116.62,119.67,116.6,118.94,8758725
43,CVX,2018-11-06,118.76,119.43,117.85,118.9,5273216
44,CVX,2018-11-07,120.0,121.12,119.02,120.87,4848779
45,CVX,2018-11-08,120.65,121.87,118.96,119.36,9532354
46,CVX,2018-11-09,118.22,120.37,117.37,119.51,6565682
47,CVX,2018-11-12,120.9,121.37,117.17,117.39,10550804
48,CVX,2018-11-13,117.3,117.88,115.04,115.35,6846504
49,CVX,2018-11-14,116.88,117.79,114.94,115.72,6783523
50,CVX,2018-11-15,113.66,117.08,112.72,116.95,7218373
51,CVX,2018-11-16,117.5,119.27,117.27,119.06,6706879
52,CVX,2018-11-19,118.14,119.48,117.9,119.42,5328267
53,CVX,2018-11-20,119.24,119.5,115.04,116.1,7983463
54,CVX,2018-11-21,116.68,119.19,116.68,117.57,5624408
55,CVX,2018-11-23,114.7,115.22,112.11,113.6,5577753
56,CVX,2018-11-26,114.6,115.44,114.02,114.98,6952960
57,CVX,2018-11-27,114.55,115.66,114.22,115.21,6339204
