new_column,ts_code,trade_date,open,high,low,close,vol
0,HD,2018-09-06,204.59,207.09,203.8,205.89,3490531
1,HD,2018-09-07,205.45,207.23,205.43,206.23,3672696
2,HD,2018-09-10,208.13,211.62,208.13,210.69,5585017
3,HD,2018-09-11,213.0,214.66,211.5,213.85,5969470
4,HD,2018-09-12,214.03,215.43,210.91,211.98,5660075
5,HD,2018-09-13,211.44,211.44,208.7,209.45,4701094
6,HD,2018-09-14,210.19,210.53,207.55,209.07,3622393
7,HD,2018-09-17,209.08,210.04,208.26,208.4,3074720
8,HD,2018-09-18,208.63,211.73,208.16,211.02,4338462
9,HD,2018-09-19,212.0,212.67,210.66,211.68,2579094
10,HD,2018-09-20,211.66,212.61,211.01,211.06,4020776
11,HD,2018-09-21,211.3,212.66,210.51,212.39,9749205
12,HD,2018-09-24,211.52,211.84,207.96,207.99,4623688
13,HD,2018-09-25,208.84,209.3,206.8,207.46,4443309
14,HD,2018-09-26,208.58,209.14,207.23,207.52,2965845
15,HD,2018-09-27,207.5,207.83,205.67,206.84,3218841
16,HD,2018-09-28,206.44,208.85,206.35,207.15,3966222
17,HD,2018-10-01,208.52,209.79,207.37,207.6,3670701
18,HD,2018-10-02,207.49,208.04,204.67,204.75,4428039
19,HD,2018-10-03,206.16,206.46,203.65,203.74,4162453
20,HD,2018-10-04,203.65,203.76,198.27,198.85,5996170
21,HD,2018-10-05,199.07,199.7,194.57,196.38,5016586
22,HD,2018-10-08,196.24,198.66,195.06,198.41,3731816
23,HD,2018-10-09,197.95,199.18,195.58,195.75,4466758
24,HD,2018-10-10,199.11,199.24,193.35,193.7,6157921
25,HD,2018-10-11,193.71,196.67,188.47,189.74,5831416
26,HD,2018-10-12,192.75,193.59,190.16,192.47,5450229
27,HD,2018-10-15,192.36,193.29,190.7,191.17,3642768
28,HD,2018-10-16,191.83,194.08,190.61,193.58,4057412
29,HD,2018-10-17,189.64,190.67,183.98,185.17,8985667
30,HD,2018-10-18,184.26,185.4,179.53,180.44,9261963
31,HD,2018-10-19,180.34,180.99,178.57,179.85,7004297
32,HD,2018-10-22,180.82,181.4,177.56,178.75,4866716
33,HD,2018-10-23,175.77,179.49,175.44,178.53,7004926
34,HD,2018-10-24,178.58,182.37,176.31,176.97,6791655
35,HD,2018-10-25,177.52,180.5,176.83,179.07,5227977
36,HD,2018-10-26,176.88,177.34,170.91,172.23,9472382
37,HD,2018-10-29,173.74,175.99,170.95,173.2,5918379
38,HD,2018-10-30,173.16,176.43,172.64,176.24,5657107
39,HD,2018-10-31,177.98,178.85,175.59,175.88,6339454
40,HD,2018-11-01,176.84,180.86,175.9,180.46,5225343
41,HD,2018-11-02,182.47,183.01,177.39,179.93,4730558
42,HD,2018-11-05,181.02,182.41,179.3,182.19,3885319
43,HD,2018-11-06,181.93,182.65,180.05,182.01,3339037
44,HD,2018-11-07,183.79,187.68,182.06,187.23,4673834
45,HD,2018-11-08,187.13,188.69,185.72,188.0,4054004
46,HD,2018-11-09,188.32,188.48,184.96,185.99,4761172
47,HD,2018-11-12,185.23,186.95,179.02,179.43,7590396
48,HD,2018-11-13,177.3,181.62,172.85,179.0,14274029
49,HD,2018-11-14,182.61,182.9,179.15,179.9,7561076
50,HD,2018-11-15,179.01,179.67,173.61,177.36,8663136
51,HD,2018-11-16,173.99,177.61,173.51,177.02,6834880
52,HD,2018-11-19,176.71,178.88,172.3,173.59,6203443
53,HD,2018-11-20,169.25,172.0,167.0,169.05,8661014
54,HD,2018-11-21,170.0,170.93,169.15,169.3,5752238
55,HD,2018-11-23,169.39,170.33,168.47,168.85,2710983
56,HD,2018-11-26,170.2,172.39,168.87,169.82,6140476
57,HD,2018-11-27,169.11,173.38,168.82,173.22,7084186
58,HD,2018-11-28,172.91,177.65,170.62,177.43,7133627
59,HD,2018-11-29,176.8,177.27,174.92,175.66,4329330
60,HD,2018-11-30,175.75,180.37,175.11,180.32,8942386
61,HD,2018-12-03,183.29,183.5,179.35,181.74,7609902
62,HD,2018-12-04,181.06,182.23,174.55,175.3,7059563
63,HD,2018-12-06,173.5,176.04,170.4551,175.96,7571194
64,HD,2018-12-07,175.35,178.36,172.24,172.79,6226078
65,HD,2018-12-10,173.39,173.99,167.73,171.69,5373771
66,HD,2018-12-11,174.3,175.6,171.24,172.21,5229405
67,HD,2018-12-12,173.75,176.87,172.81,174.21,5912831
68,HD,2018-12-13,174.31,174.91,172.07,173.87,6102173
69,HD,2018-12-14,172.98,175.14,171.95,172.29,4265183
70,HD,2018-12-17,171.51,171.99,166.93,167.97,5631716
71,HD,2018-12-18,168.9,171.95,168.5,170.04,4462210
72,HD,2018-12-19,170.92,174.95,166.77,167.56,6996948
73,HD,2018-12-20,166.28,167.31,162.23,164.16,7675587
74,HD,2018-12-21,162.81,167.96,160.17,160.48,13034103
75,HD,2018-12-24,160.16,161.4,158.09,158.14,4547363
76,HD,2018-12-26,159.46,168.28,159.44,168.28,6141459
77,HD,2018-12-27,166.44,170.46,163.36,170.32,5069251
78,HD,2018-12-28,171.22,173.12,168.6,170.22,4551989
79,HD,2018-12-31,171.47,173.24,170.65,171.82,4206020
80,HD,2019-01-02,169.71,173.18,169.05,172.41,4242898
81,HD,2019-01-03,171.84,171.84,168.21,168.61,4810468
82,HD,2019-01-04,170.18,174.74,169.52,173.62,4762627
83,HD,2019-01-07,173.83,178.18,173.83,177.04,4928789
84,HD,2019-01-08,178.57,179.59,175.61,177.89,4722367
85,HD,2019-01-09,177.87,181.27,177.1,179.73,4922046
86,HD,2019-01-10,178.03,179.24,176.34,179.06,3605294
87,HD,2019-01-11,177.93,180.26,177.12,179.41,3285063
88,HD,2019-01-14,177.59,179.23,176.9,178.81,3871399
89,HD,2019-01-15,176.08,177.82,175.2,176.47,5016065
90,HD,2019-01-16,177.09,177.93,175.86,177.04,4075410
91,HD,2019-01-17,174.01,175.46,172.0,174.87,6499188
92,HD,2019-01-18,176.98,180.04,176.18,179.58,6371422
93,HD,2019-01-22,177.49,178.6,175.36,177.11,6272715
94,HD,2019-01-23,176.59,178.06,174.53,176.89,4910402
95,HD,2019-01-24,177.0,177.53,175.3,177.29,3860309
96,HD,2019-01-25,179.78,180.87,178.61,180.4,4502516
97,HD,2019-01-28,178.97,179.99,177.41,179.83,4091373
98,HD,2019-01-29,178.96,180.15,178.09,179.69,3686877
99,HD,2019-01-30,180.47,184.2,179.78,182.18,5197765
100,HD,2019-01-31,181.5,184.67,181.06,183.53,5138001
101,HD,2019-02-01,184.03,185.15,182.83,184.37,4513184
102,HD,2019-02-04,184.3,186.43,183.84,186.43,3050201
103,HD,2019-02-05,186.89,186.99,184.69,186.39,4135159
104,HD,2019-02-06,186.69,186.69,184.06,184.72,3072472
105,HD,2019-02-07,183.74,184.92,182.45,184.07,2793487
106,HD,2019-02-08,183.05,184.58,182.72,184.54,2792477
107,HD,2019-02-11,185.0,185.42,182.75,182.92,3729222
108,HD,2019-02-12,183.84,186.4,183.52,185.52,3773229
109,HD,2019-02-13,186.3,188.68,185.92,188.41,4147029
110,HD,2019-02-14,187.5,188.93,186.0,187.71,2600831
111,HD,2019-02-15,189.87,192.62,189.05,192.39,4997891
112,HD,2019-02-19,191.71,193.19,191.28,192.33,3828464
113,HD,2019-02-20,192.39,192.4,191.11,191.85,3970075
114,HD,2019-02-21,191.85,192.37,190.61,191.82,3094240
115,HD,2019-02-22,191.69,192.54,191.62,192.39,3321635
116,HD,2019-02-25,192.75,193.42,189.96,189.98,6190665
117,HD,2019-02-26,185.59,188.47,182.8,188.3,13635082
118,HD,2019-02-27,187.9,188.5,183.21,183.67,8766217
119,HD,2019-02-28,183.6,185.19,183.11,185.14,8060552
120,HD,2019-03-01,185.82,186.56,182.86,185.17,5481417
121,HD,2019-03-04,186.2,186.24,182.1,183.81,5046772
122,HD,2019-03-05,184.24,185.12,183.25,184.0,3690994
123,HD,2019-03-06,184.53,184.97,183.84,184.45,4460878
124,HD,2019-03-07,184.39,184.62,181.58,182.51,4122194
125,HD,2019-03-08,181.49,181.91,179.52,181.23,3867055
126,HD,2019-03-11,182.0,183.2,181.2,182.44,3866236
127,HD,2019-03-12,183.43,184.27,182.33,184.0,3776971
128,HD,2019-03-13,183.24,183.78,181.08,181.14,4528250
129,HD,2019-03-14,181.28,181.74,180.5,181.61,4393038
130,HD,2019-03-15,182.3,182.49,179.57,182.23,8059489
131,HD,2019-03-18,182.53,183.48,182.33,183.42,4395846
132,HD,2019-03-19,184.19,185.82,183.48,184.13,4437087
133,HD,2019-03-20,184.3,187.12,183.43,186.1,4772648
134,HD,2019-03-21,185.5,190.0,185.5,189.97,4756126
135,HD,2019-03-22,189.31,192.05,188.67,188.75,5173899
136,HD,2019-03-25,188.75,191.71,188.51,189.68,3845892
137,HD,2019-03-26,190.69,192.19,188.74,189.34,4143254
138,HD,2019-03-27,189.65,191.61,188.39,189.25,4298373
139,HD,2019-03-28,189.91,191.4,189.16,190.06,3326131
140,HD,2019-03-29,190.85,192.04,190.14,191.89,4674122
141,HD,2019-04-01,192.99,195.9,192.85,195.64,5381379
142,HD,2019-04-02,195.5,195.5,194.02,194.31,2717818
143,HD,2019-04-03,194.98,198.79,194.11,198.61,4581479
144,HD,2019-04-04,199.0,200.49,198.02,200.45,3138816
145,HD,2019-04-05,200.86,203.13,200.61,202.06,3615266
146,HD,2019-04-08,201.37,203.79,201.24,203.55,3040935
147,HD,2019-04-09,202.26,202.71,200.46,200.9,3721698
148,HD,2019-04-10,201.26,201.6,198.02,199.43,3587644
149,HD,2019-04-11,199.9,201.5,199.03,201.48,2465415
150,HD,2019-04-12,202.13,204.26,202.13,203.85,3097939
151,HD,2019-04-15,204.16,205.14,203.4,204.86,3049880
152,HD,2019-04-16,205.25,205.99,204.29,204.47,3271592
