new_column,ts_code,trade_date,open,high,low,close,vol
0,JNJ,2018-09-06,135.5,137.31,135.18,136.87,6562238
1,JNJ,2018-09-07,136.78,137.69,135.75,137.32,6375196
2,JNJ,2018-09-10,137.53,138.47,137.06,137.21,4892017
3,JNJ,2018-09-11,137.64,138.91,137.22,138.51,7856779
4,JNJ,2018-09-12,138.9,139.99,138.56,139.36,6767681
5,JNJ,2018-09-13,139.89,140.48,139.02,139.89,6456132
6,JNJ,2018-09-14,140.0,140.35,139.1,139.49,4534848
7,JNJ,2018-09-17,139.33,140.4,139.18,139.96,5295517
8,JNJ,2018-09-18,140.27,140.84,139.83,140.54,4581234
9,JNJ,2018-09-19,140.76,140.99,140.05,140.46,5049937
10,JNJ,2018-09-20,140.82,142.14,140.51,141.98,5019257
11,JNJ,2018-09-21,142.18,143.13,141.69,142.88,13283427
12,JNJ,2018-09-24,142.1,142.5,140.23,140.47,6708195
13,JNJ,2018-09-25,140.53,140.96,138.4,138.64,7982758
14,JNJ,2018-09-26,138.95,140.0,137.96,138.16,7133329
15,JNJ,2018-09-27,138.45,139.58,137.57,138.22,6450485
16,JNJ,2018-09-28,138.1,138.56,137.41,138.17,6638464
17,JNJ,2018-10-01,138.26,139.85,138.0,139.69,4873173
18,JNJ,2018-10-02,139.79,140.73,139.65,140.48,6439132
19,JNJ,2018-10-03,140.54,141.27,138.88,139.03,5411809
20,JNJ,2018-10-04,138.55,139.53,137.32,139.35,4738706
21,JNJ,2018-10-05,139.8,140.25,138.56,139.1,4309320
22,JNJ,2018-10-08,138.9,139.68,138.62,139.39,5174106
23,JNJ,2018-10-09,138.74,139.62,137.81,139.2,4475392
24,JNJ,2018-10-10,139.35,140.46,137.73,137.73,7265642
25,JNJ,2018-10-11,137.91,138.66,132.88,133.84,11603189
26,JNJ,2018-10-12,134.4,134.41,132.23,133.87,6997955
27,JNJ,2018-10-15,133.88,135.3,133.51,133.95,6398651
28,JNJ,2018-10-16,134.75,137.99,134.75,136.56,9592783
29,JNJ,2018-10-17,136.23,140.0,136.21,139.46,8261107
30,JNJ,2018-10-18,139.2,139.81,137.71,139.5,7584163
31,JNJ,2018-10-19,138.34,140.0,137.91,139.05,5924814
32,JNJ,2018-10-22,138.61,139.26,138.14,138.68,4864342
33,JNJ,2018-10-23,137.79,139.49,137.45,138.93,8282724
34,JNJ,2018-10-24,138.52,140.11,137.17,137.47,8279166
35,JNJ,2018-10-25,137.46,139.09,135.05,138.47,9720715
36,JNJ,2018-10-26,137.94,139.3,135.33,136.97,11371401
37,JNJ,2018-10-29,136.99,139.1,136.22,137.55,6783049
38,JNJ,2018-10-30,137.93,141.1,137.0,140.75,9646224
39,JNJ,2018-10-31,141.0,141.43,139.61,139.99,9968941
40,JNJ,2018-11-01,140.07,141.58,139.85,140.82,6913461
41,JNJ,2018-11-02,141.97,142.0,139.66,140.68,7673303
42,JNJ,2018-11-05,141.0,142.74,139.0,142.2,5601398
43,JNJ,2018-11-06,141.53,142.83,141.06,142.57,5798915
44,JNJ,2018-11-07,143.1,144.87,142.97,144.75,7173590
45,JNJ,2018-11-08,144.31,145.79,144.0,145.3,5497130
46,JNJ,2018-11-09,145.04,145.74,144.38,145.34,5343206
47,JNJ,2018-11-12,144.99,146.24,144.73,145.62,7013577
48,JNJ,2018-11-13,146.19,146.75,143.42,144.68,7432438
49,JNJ,2018-11-14,145.02,145.31,143.56,144.25,6433077
50,JNJ,2018-11-15,143.41,144.51,142.48,144.5,6658019
51,JNJ,2018-11-16,144.71,146.74,144.55,145.99,8494311
52,JNJ,2018-11-19,146.43,148.44,146.37,147.73,8714603
53,JNJ,2018-11-20,147.5,148.75,146.35,146.45,8937990
54,JNJ,2018-11-21,146.23,146.23,140.78,141.99,10275810
55,JNJ,2018-11-23,141.85,142.73,141.6,142.23,3404882
56,JNJ,2018-11-26,142.0,142.05,140.72,141.37,7590941
57,JNJ,2018-11-27,140.57,143.35,139.66,143.22,5962112
58,JNJ,2018-11-28,143.83,146.56,143.36,146.44,8411383
59,JNJ,2018-11-29,145.62,147.2,144.84,145.85,6900046
60,JNJ,2018-11-30,145.34,147.0,145.1,146.9,12517550
61,JNJ,2018-12-03,145.57,146.63,144.94,146.21,8826313
62,JNJ,2018-12-04,146.32,148.99,145.82,146.03,9803458
63,JNJ,2018-12-06,144.5,146.45,142.79,145.91,11572488
64,JNJ,2018-12-07,145.49,147.34,144.12,145.43,9444459
65,JNJ,2018-12-10,145.39,145.88,142.38,145.26,6848441
66,JNJ,2018-12-11,146.29,148.21,145.79,146.5,9857360
67,JNJ,2018-12-12,147.0,148.49,147.0,147.1,8869173
68,JNJ,2018-12-13,146.96,148.59,146.8,147.84,6008330
69,JNJ,2018-12-14,144.34,145.38,130.2,133.0,58140194
70,JNJ,2018-12-17,128.32,131.65,126.83,129.14,36933136
71,JNJ,2018-12-18,132.05,132.8,129.2,130.42,24640095
72,JNJ,2018-12-19,129.87,131.35,127.09,127.61,21232073
73,JNJ,2018-12-20,127.72,129.75,126.76,128.27,16609606
74,JNJ,2018-12-21,127.8,130.6,127.12,128.09,19732933
75,JNJ,2018-12-24,127.3,128.0,121.0,122.84,7531885
76,JNJ,2018-12-26,123.42,126.76,122.01,126.71,9253404
77,JNJ,2018-12-27,125.87,127.41,123.07,127.41,9918687
78,JNJ,2018-12-28,127.91,128.75,126.75,127.27,6537240
79,JNJ,2018-12-31,128.18,129.55,127.42,129.05,7409858
80,JNJ,2019-01-02,128.13,128.38,126.28,127.75,7631672
81,JNJ,2019-01-03,128.14,128.27,125.36,125.72,8654685
82,JNJ,2019-01-04,127.12,128.65,126.73,127.83,8831997
83,JNJ,2019-01-07,127.63,128.35,126.8,127.01,8404653
84,JNJ,2019-01-08,128.18,130.5,127.73,129.96,9351570
85,JNJ,2019-01-09,129.83,130.24,128.33,128.93,7403525
86,JNJ,2019-01-10,127.69,129.89,127.69,129.71,6224419
87,JNJ,2019-01-11,129.0,129.84,128.31,129.75,5300666
88,JNJ,2019-01-14,128.74,128.96,127.59,128.28,7374457
89,JNJ,2019-01-15,128.52,129.49,127.65,129.36,5194405
90,JNJ,2019-01-16,129.41,129.41,127.9,128.04,6264150
91,JNJ,2019-01-17,127.71,129.52,127.46,129.09,7631960
92,JNJ,2019-01-18,129.9,131.18,129.45,130.69,10592972
93,JNJ,2019-01-22,128.2,129.5,127.01,128.8,10568128
94,JNJ,2019-01-23,128.5,129.3,127.93,128.8,9267966
95,JNJ,2019-01-24,128.49,128.7,125.0,127.03,9917100
96,JNJ,2019-01-25,128.13,128.45,127.03,128.23,7585947
97,JNJ,2019-01-28,127.81,129.15,127.29,128.99,6927661
98,JNJ,2019-01-29,128.95,130.47,128.5,130.33,6669289
99,JNJ,2019-01-30,130.37,132.19,130.3,131.64,7299455
