new_column,ts_code,trade_date,open,high,low,close,vol
0,JPM,2018-09-06,114.5,114.7,113.5,114.1,9877635
1,JPM,2018-09-07,114.5,114.77,113.63,114.32,10955590
2,JPM,2018-09-10,114.85,114.97,113.66,113.71,8276789
3,JPM,2018-09-11,113.54,114.58,113.18,114.43,9333781
4,JPM,2018-09-12,114.25,114.88,112.85,113.08,10800758
5,JPM,2018-09-13,113.37,114.13,112.67,113.52,12470769
6,JPM,2018-09-14,113.81,114.49,113.23,113.5,10337948
7,JPM,2018-09-17,113.79,114.43,113.3,113.84,9561297
8,JPM,2018-09-18,114.33,114.66,113.56,114.3,7944210
9,JPM,2018-09-19,114.44,118.06,114.44,117.62,16052776
10,JPM,2018-09-20,118.5,119.24,118.08,118.63,15589976
11,JPM,2018-09-21,119.13,119.23,117.74,117.85,24788247
12,JPM,2018-09-24,117.76,118.46,116.43,116.72,12492474
13,JPM,2018-09-25,117.04,117.97,116.32,116.39,9308310
14,JPM,2018-09-26,116.75,116.87,114.66,115.02,14023640
15,JPM,2018-09-27,115.42,115.76,114.16,114.52,13282987
16,JPM,2018-09-28,113.65,114.24,112.52,112.84,15815120
17,JPM,2018-10-01,113.37,114.61,113.04,113.5,10147110
18,JPM,2018-10-02,113.36,114.12,112.81,113.97,13753074
19,JPM,2018-10-03,114.94,115.66,114.48,115.04,17141962
20,JPM,2018-10-04,114.55,116.81,114.21,115.27,16357406
21,JPM,2018-10-05,115.83,116.1,114.02,114.62,13777633
22,JPM,2018-10-08,114.25,115.78,113.35,115.32,14370869
23,JPM,2018-10-09,114.67,115.03,113.67,114.52,14069477
24,JPM,2018-10-10,114.7,114.95,111.47,111.47,23086389
25,JPM,2018-10-11,110.97,111.47,107.38,108.13,33705616
26,JPM,2018-10-12,110.37,110.83,105.6,106.95,32075740
27,JPM,2018-10-15,107.2,108.85,106.32,106.34,18903216
28,JPM,2018-10-16,107.16,108.78,106.73,108.62,19302764
29,JPM,2018-10-17,108.38,110.8,108.23,109.83,18794482
30,JPM,2018-10-18,109.02,109.84,107.81,108.09,17582467
31,JPM,2018-10-19,107.65,109.22,107.27,107.91,15234549
32,JPM,2018-10-22,108.15,108.34,106.11,106.36,16199139
33,JPM,2018-10-23,104.2,106.16,103.7,105.25,21407548
34,JPM,2018-10-24,104.76,105.03,102.91,103.29,23168916
35,JPM,2018-10-25,104.18,105.9,103.72,104.86,17464708
36,JPM,2018-10-26,104.0,104.56,102.73,103.42,19174916
37,JPM,2018-10-29,104.46,106.63,103.7,104.85,18445175
38,JPM,2018-10-30,105.71,106.98,104.86,106.7,18019681
39,JPM,2018-10-31,108.08,110.48,107.79,109.02,20859992
40,JPM,2018-11-01,109.62,110.22,108.32,108.98,13065023
41,JPM,2018-11-02,109.9,110.81,107.49,108.38,19009518
42,JPM,2018-11-05,108.61,109.29,108.42,109.09,10276448
43,JPM,2018-11-06,108.67,109.67,107.76,109.6,10824959
44,JPM,2018-11-07,110.37,111.73,109.35,111.48,12679585
45,JPM,2018-11-08,111.01,112.93,111.0,112.38,11662499
46,JPM,2018-11-09,112.23,112.36,110.83,111.29,10432161
47,JPM,2018-11-12,111.42,111.94,108.6,108.95,13279671
48,JPM,2018-11-13,109.1,111.12,109.1,109.59,13746059
49,JPM,2018-11-14,110.23,110.71,105.98,107.33,18361433
50,JPM,2018-11-15,108.24,110.08,106.81,110.07,19099954
51,JPM,2018-11-16,109.45,110.76,108.55,109.99,13798551
52,JPM,2018-11-19,109.96,111.2,109.53,110.83,13986991
53,JPM,2018-11-20,109.78,110.49,107.98,108.45,18936153
54,JPM,2018-11-21,109.03,109.61,107.64,107.64,10619625
55,JPM,2018-11-23,106.74,107.39,106.06,106.65,6488406
56,JPM,2018-11-26,107.72,109.98,107.45,109.26,13948285
57,JPM,2018-11-27,108.76,110.03,108.63,109.72,9238176
58,JPM,2018-11-28,109.8,111.4,108.87,110.94,13977257
59,JPM,2018-11-29,110.27,110.8,109.64,110.06,11144347
60,JPM,2018-11-30,109.85,111.32,109.58,111.19,18652718
61,JPM,2018-12-03,112.38,112.89,111.74,112.24,16033180
62,JPM,2018-12-04,111.6,111.6,106.73,107.23,23555940
63,JPM,2018-12-06,105.01,105.36,102.88,105.19,27213946
64,JPM,2018-12-07,105.16,106.98,102.91,103.29,19248595
65,JPM,2018-12-10,102.87,103.49,99.28,101.36,23636429
66,JPM,2018-12-11,103.13,103.66,100.21,100.37,16860677
67,JPM,2018-12-12,101.66,102.9,100.06,101.02,22621487
68,JPM,2018-12-13,101.55,101.97,100.67,101.12,17250942
69,JPM,2018-12-14,99.99,101.94,99.86,100.29,19879525
70,JPM,2018-12-17,99.77,100.56,98.44,99.01,25113534
71,JPM,2018-12-18,99.42,100.89,98.12,98.54,20837150
72,JPM,2018-12-19,98.41,100.58,96.6,97.29,28767868
73,JPM,2018-12-20,96.61,98.28,95.69,96.45,31825218
74,JPM,2018-12-21,96.68,98.43,93.69,94.17,41313933
75,JPM,2018-12-24,92.89,94.22,92.14,92.14,17009280
76,JPM,2018-12-26,92.69,95.96,91.11,95.96,22542900
77,JPM,2018-12-27,94.82,97.15,93.55,97.04,20304683
78,JPM,2018-12-28,97.95,98.32,96.44,96.83,17963271
79,JPM,2018-12-31,97.59,98.8085,96.77,97.62,13237180
80,JPM,2019-01-02,95.95,99.78,95.94,99.31,15670850
81,JPM,2019-01-03,98.64,98.89,96.69,97.11,16286426
82,JPM,2019-01-04,99.11,100.93,98.28,100.69,16935205
83,JPM,2019-01-07,100.43,101.47,99.71,100.76,15430712
84,JPM,2019-01-08,101.63,101.82,99.55,100.57,13578777
85,JPM,2019-01-09,100.81,101.49,99.93,100.4,14230331
86,JPM,2019-01-10,100.02,100.73,99.27,100.39,14376430
87,JPM,2019-01-11,99.89,100.17,98.95,99.91,15439850
88,JPM,2019-01-14,98.87,101.36,98.66,100.94,21258458
89,JPM,2019-01-15,98.89,102.47,98.6,101.68,26504852
90,JPM,2019-01-16,102.25,103.45,101.8,102.5,18532952
91,JPM,2019-01-17,102.11,103.5,101.92,102.92,14247564
92,JPM,2019-01-18,103.77,104.9,102.83,104.59,16428710
93,JPM,2019-01-22,103.08,103.59,102.13,102.94,17083681
94,JPM,2019-01-23,103.44,103.7,101.97,102.68,12146678
95,JPM,2019-01-24,102.13,103.09,101.94,102.74,11296764
96,JPM,2019-01-25,103.51,104.31,102.74,103.39,14412559
97,JPM,2019-01-28,102.89,104.24,102.59,103.88,12283089
98,JPM,2019-01-29,103.88,105.11,103.73,104.17,9743271
99,JPM,2019-01-30,104.14,105.24,103.78,104.41,12526274
100,JPM,2019-01-31,103.41,103.8,102.73,103.5,17520551
101,JPM,2019-02-01,104.0,104.85,103.52,103.88,13000780
102,JPM,2019-02-04,103.79,104.25,103.01,104.25,9871549
103,JPM,2019-02-05,104.52,104.55,103.29,103.79,12762982
104,JPM,2019-02-06,103.71,104.62,103.47,103.74,8744957
105,JPM,2019-02-07,103.25,103.5,101.44,102.38,13177489
106,JPM,2019-02-08,102.08,102.34,100.06,101.36,12892562
107,JPM,2019-02-11,101.76,102.01,100.77,100.88,10978516
108,JPM,2019-02-12,101.95,102.92,101.89,102.6,12852252
109,JPM,2019-02-13,102.9,103.85,102.9,103.09,10754061
