new_column,ts_code,trade_date,open,high,low,close,vol
0,KO,2018-09-06,45.4,46.0,45.3,45.77,11439474
1,KO,2018-09-07,45.6,45.82,45.28,45.72,10208108
2,KO,2018-09-10,45.91,46.31,45.8,46.06,8568927
3,KO,2018-09-11,46.1,46.15,45.88,46.02,9278268
4,KO,2018-09-12,46.16,46.3,46.02,46.24,13216376
5,KO,2018-09-13,46.01,46.12,45.71,45.83,8294848
6,KO,2018-09-14,45.92,46.03,45.61,45.99,7612884
7,KO,2018-09-17,46.0,46.33,45.91,46.32,8527345
8,KO,2018-09-18,46.39,46.53,45.93,45.93,9847711
9,KO,2018-09-19,46.0,46.11,45.87,45.96,7119133
10,KO,2018-09-20,46.22,46.68,46.15,46.64,9736714
11,KO,2018-09-21,46.64,46.69,46.38,46.58,19240577
12,KO,2018-09-24,46.49,46.53,45.84,46.07,10778892
13,KO,2018-09-25,46.06,46.18,45.61,45.68,7919144
14,KO,2018-09-26,45.77,46.07,45.57,45.85,10162560
15,KO,2018-09-27,45.73,46.18,45.68,46.01,10826880
16,KO,2018-09-28,46.0,46.19,45.97,46.19,9071904
17,KO,2018-10-01,46.17,46.35,46.05,46.23,9364735
18,KO,2018-10-02,46.28,46.56,46.06,46.51,7462702
19,KO,2018-10-03,46.46,46.55,45.8,45.87,10542292
20,KO,2018-10-04,45.66,45.9,45.43,45.85,9582388
21,KO,2018-10-05,45.94,46.16,45.69,45.88,8734090
22,KO,2018-10-08,45.99,46.58,45.97,46.48,9808094
23,KO,2018-10-09,46.38,46.55,46.22,46.39,10824552
24,KO,2018-10-10,46.3,46.7,45.67,45.68,13917018
25,KO,2018-10-11,45.8,45.97,44.5,44.64,17677941
26,KO,2018-10-12,44.48,44.88,44.25,44.68,12420075
27,KO,2018-10-15,44.64,45.27,44.59,44.91,11608529
28,KO,2018-10-16,45.02,45.6,44.86,45.49,10442520
29,KO,2018-10-17,45.41,45.99,45.36,45.86,11055840
30,KO,2018-10-18,45.9,46.08,45.46,45.61,12716854
31,KO,2018-10-19,45.83,46.49,45.83,46.33,13989247
32,KO,2018-10-22,46.37,46.46,45.81,45.97,14283642
33,KO,2018-10-23,45.62,46.46,45.45,46.36,17483862
34,KO,2018-10-24,46.33,47.39,46.24,46.73,21626031
35,KO,2018-10-25,46.65,46.74,46.12,46.51,14220216
36,KO,2018-10-26,46.37,46.48,45.43,45.92,21458110
37,KO,2018-10-29,46.15,46.56,46.05,46.46,20932176
38,KO,2018-10-30,46.62,47.74,46.04,47.63,20895360
39,KO,2018-10-31,47.5,48.08,47.22,47.88,25309419
40,KO,2018-11-01,47.81,48.15,47.3,47.74,16494500
41,KO,2018-11-02,47.82,48.0,47.44,48.0,17585058
42,KO,2018-11-05,48.0,48.78,47.92,48.69,16543547
43,KO,2018-11-06,48.65,49.13,48.6,49.11,14373426
44,KO,2018-11-07,49.39,49.55,49.03,49.37,12239747
45,KO,2018-11-08,49.12,49.37,49.1,49.33,9762841
46,KO,2018-11-09,49.39,49.89,49.36,49.68,12398306
47,KO,2018-11-12,49.61,50.24,49.54,49.87,13918312
48,KO,2018-11-13,49.81,50.0,49.58,49.86,13873127
49,KO,2018-11-14,49.85,49.94,49.59,49.76,12106794
50,KO,2018-11-15,49.66,49.75,49.27,49.74,12080074
51,KO,2018-11-16,49.66,50.25,49.63,50.17,13405755
52,KO,2018-11-19,50.31,50.76,50.25,50.51,13575799
53,KO,2018-11-20,50.82,50.84,49.21,49.38,16255437
54,KO,2018-11-21,49.23,49.44,48.59,48.73,13559346
55,KO,2018-11-23,48.75,49.23,48.55,49.02,4792475
56,KO,2018-11-26,49.01,49.23,48.67,48.87,9341934
57,KO,2018-11-27,48.88,49.41,48.73,49.37,9180671
58,KO,2018-11-28,49.21,49.72,49.21,49.71,11368691
59,KO,2018-11-29,49.28,49.43,48.97,48.98,11564317
60,KO,2018-11-30,49.0,50.49,48.99,50.4,25538171
61,KO,2018-12-03,49.87,49.96,48.89,49.69,14868769
62,KO,2018-12-04,49.97,50.51,49.5,49.58,19059891
63,KO,2018-12-06,49.51,49.63,48.66,49.38,17674942
64,KO,2018-12-07,49.57,49.68,48.88,49.09,15565697
65,KO,2018-12-10,49.45,49.45,48.47,49.24,12331098
66,KO,2018-12-11,49.59,50.01,49.18,49.54,18083598
67,KO,2018-12-12,49.95,50.02,49.19,49.22,12316944
68,KO,2018-12-13,48.72,49.61,48.57,49.47,13766246
69,KO,2018-12-14,49.23,49.52,49.02,49.34,13836073
70,KO,2018-12-17,49.34,49.53,48.02,48.33,18483063
71,KO,2018-12-18,48.61,48.83,47.85,48.32,14765715
72,KO,2018-12-19,48.24,48.76,47.62,47.9,17903816
73,KO,2018-12-20,47.81,48.13,47.1,47.54,21130011
74,KO,2018-12-21,47.26,48.75,47.23,47.57,32477703
75,KO,2018-12-24,47.62,47.87,45.83,45.96,10733717
76,KO,2018-12-26,45.88,46.96,45.66,46.94,14342580
77,KO,2018-12-27,46.74,47.55,46.03,47.53,16966519
78,KO,2018-12-28,47.89,48.01,47.025,47.2,13218171
79,KO,2018-12-31,47.49,47.54,46.96,47.35,10576275
80,KO,2019-01-02,46.94,47.22,46.56,46.93,11603715
81,KO,2019-01-03,46.82,47.37,46.53,46.64,14714413
82,KO,2019-01-04,46.75,47.57,46.64,47.57,13013814
83,KO,2019-01-07,47.57,47.75,46.9,46.95,13135484
84,KO,2019-01-08,47.25,47.57,47.04,47.48,15420735
85,KO,2019-01-09,47.08,47.28,46.43,46.57,18032543
86,KO,2019-01-10,46.66,47.09,46.34,47.07,15976608
87,KO,2019-01-11,47.29,47.36,46.97,47.34,11088619
88,KO,2019-01-14,47.25,47.4,46.99,47.15,11514288
89,KO,2019-01-15,46.89,47.6,46.81,47.57,11342944
90,KO,2019-01-16,47.4,47.47,46.86,46.92,16907780
91,KO,2019-01-17,46.92,47.14,46.88,47.06,12044612
92,KO,2019-01-18,47.25,47.69,47.12,47.61,12760779
93,KO,2019-01-22,47.7,47.79,47.21,47.72,11700444
94,KO,2019-01-23,47.82,48.29,47.65,48.27,12058273
95,KO,2019-01-24,48.11,48.11,47.38,47.69,10271980
96,KO,2019-01-25,47.88,48.03,47.24,47.37,12066683
97,KO,2019-01-28,47.22,47.3,46.94,47.17,9966925
98,KO,2019-01-29,47.2,47.63,47.13,47.4,11998597
99,KO,2019-01-30,47.25,47.89,47.19,47.86,12952455
100,KO,2019-01-31,47.85,48.78,47.47,48.13,32181497
101,KO,2019-02-01,48.48,48.78,48.4,48.7,19130144
102,KO,2019-02-04,48.7,49.45,48.54,49.25,15105741
103,KO,2019-02-05,49.33,49.47,49.1,49.26,12651851
104,KO,2019-02-06,49.21,49.36,49.02,49.26,8689408
105,KO,2019-02-07,49.17,49.46,49.0,49.42,10047848
106,KO,2019-02-08,49.37,49.5,49.11,49.5,9813297
107,KO,2019-02-11,49.57,49.88,49.48,49.61,9369282
108,KO,2019-02-12,49.69,49.8,49.46,49.66,10983477
109,KO,2019-02-13,49.61,49.94,49.56,49.79,12748849
110,KO,2019-02-14,46.7,46.96,45.5,45.59,58905402
111,KO,2019-02-15,45.9,46.26,45.2,45.24,35701558
112,KO,2019-02-19,45.32,45.59,44.77,44.83,25511303
113,KO,2019-02-20,44.91,45.24,44.8,45.1,27463983
114,KO,2019-02-21,45.0,45.91,44.96,45.86,23121168
115,KO,2019-02-22,45.76,45.95,45.2,45.28,24728388
116,KO,2019-02-25,45.44,45.57,44.84,44.94,23774351
117,KO,2019-02-26,45.1,45.14,44.66,44.69,20463228
118,KO,2019-02-27,44.6,45.02,44.42,44.94,17827613
119,KO,2019-02-28,45.12,45.61,45.11,45.34,22533939
120,KO,2019-03-01,45.47,45.64,45.2,45.38,16291591
121,KO,2019-03-04,45.53,45.67,45.3,45.65,15973822
122,KO,2019-03-05,45.65,45.7,45.4,45.6,13062286
123,KO,2019-03-06,45.67,45.785,45.44,45.45,14232155
124,KO,2019-03-07,45.49,45.53,45.13,45.28,12083997
125,KO,2019-03-08,45.15,45.25,44.61,44.84,15579292
126,KO,2019-03-11,45.14,46.24,45.1,46.18,22126902
127,KO,2019-03-12,45.95,46.25,45.9,46.05,19348467
128,KO,2019-03-13,46.13,46.34,45.91,46.22,16222517
129,KO,2019-03-14,45.84,46.11,45.63,45.7,18504233
130,KO,2019-03-15,45.72,45.9,45.14,45.3,47254492
131,KO,2019-03-18,45.43,45.68,45.36,45.41,24006385
132,KO,2019-03-19,45.55,45.69,45.34,45.56,14986950
133,KO,2019-03-20,45.4,45.9,45.18,45.53,13376078
134,KO,2019-03-21,45.53,45.76,45.44,45.51,20043423
135,KO,2019-03-22,45.46,46.11,45.46,45.93,19055939
136,KO,2019-03-25,45.86,46.2,45.79,46.03,11668222
137,KO,2019-03-26,46.17,46.79,46.17,46.64,11434888
138,KO,2019-03-27,46.65,46.91,46.33,46.61,11543630
139,KO,2019-03-28,46.68,46.92,46.48,46.58,11121067
140,KO,2019-03-29,46.67,46.91,46.48,46.86,16045553
141,KO,2019-04-01,46.99,47.17,46.59,46.72,11522684
142,KO,2019-04-02,46.75,46.93,46.57,46.57,8495331
143,KO,2019-04-03,46.42,46.59,46.04,46.18,12854520
144,KO,2019-04-04,46.34,46.54,46.11,46.48,7814918
145,KO,2019-04-05,46.49,46.58,46.2,46.47,7677796
146,KO,2019-04-08,46.54,46.57,46.27,46.55,9421519
147,KO,2019-04-09,46.45,46.72,46.27,46.67,8641776
148,KO,2019-04-10,46.84,47.0,46.56,46.64,8060254
149,KO,2019-04-11,46.72,46.75,46.54,46.71,7352467
150,KO,2019-04-12,46.67,46.93,46.57,46.74,10690040
151,KO,2019-04-15,46.88,47.04,46.7,47.0,10261724
152,KO,2019-04-16,47.05,47.1,46.7,46.95,10804647
153,KO,2019-04-17,47.2,47.55,47.15,47.28,11849263
154,KO,2019-04-18,47.33,47.58,47.27,47.48,12167116
155,KO,2019-04-22,47.4,47.61,47.02,47.4,9834685
156,KO,2019-04-23,48.09,48.72,47.55,48.21,25327963
157,KO,2019-04-24,48.03,48.23,47.92,47.98,15997286
158,KO,2019-04-25,47.74,47.89,47.47,47.84,11444411
159,KO,2019-04-26,47.99,48.45,47.98,48.26,10154302
160,KO,2019-04-29,48.17,48.45,48.11,48.42,9731540
161,KO,2019-04-30,48.53,49.18,48.39,49.06,17912962
162,KO,2019-05-01,48.95,49.08,48.55,48.59,10551594
163,KO,2019-05-02,48.53,48.77,48.27,48.39,8724932
164,KO,2019-05-03,48.6,48.96,48.52,48.72,7076949
165,KO,2019-05-06,48.33,48.61,48.26,48.47,8658209
166,KO,2019-05-07,48.23,48.29,47.77,48.0,12487481
167,KO,2019-05-08,48.05,48.23,47.82,47.85,9281542
168,KO,2019-05-09,47.8,47.98,47.07,47.4,11450532
169,KO,2019-05-10,47.41,48.3,47.4,48.19,9653803
170,KO,2019-05-13,47.91,48.13,47.73,48.05,11911503
171,KO,2019-05-14,48.53,49.32,48.35,48.69,16844203
172,KO,2019-05-15,48.67,49.38,48.6,49.18,11422539
173,KO,2019-05-16,49.27,49.66,49.21,49.58,17771456
174,KO,2019-05-17,49.27,49.55,49.17,49.2,11257015
175,KO,2019-05-20,49.04,49.14,48.76,48.85,13850532
176,KO,2019-05-21,49.0,49.03,48.45,48.6,10587371
177,KO,2019-05-22,48.78,49.71,48.72,49.65,16050700
178,KO,2019-05-23,49.5,49.9,49.46,49.85,12199513
179,KO,2019-05-24,49.82,49.89,49.53,49.61,6887900
180,KO,2019-05-28,49.6,49.67,49.03,49.1,18614225
181,KO,2019-05-29,48.74,49.03,48.41,48.61,12534850
182,KO,2019-05-30,48.72,49.31,48.67,49.25,9087412
183,KO,2019-05-31,49.0,49.31,48.78,49.13,11368639
184,KO,2019-06-03,49.16,49.98,49.02,49.98,14167447
185,KO,2019-06-04,50.0,50.28,49.615,50.0,12010729
186,KO,2019-06-05,50.01,51.14,49.69,50.78,15837552
187,KO,2019-06-06,50.91,51.54,50.59,51.4,15190441
188,KO,2019-06-07,51.47,52.19,51.45,51.49,15293561
189,KO,2019-06-10,51.54,51.54,51.09,51.38,9737469
190,KO,2019-06-11,51.45,51.59,51.18,51.33,9915600
191,KO,2019-06-12,51.5,52.14,51.47,51.64,11088124
192,KO,2019-06-13,51.46,51.7,50.78,51.13,10353646
193,KO,2019-06-14,51.05,51.53,51.05,51.31,8694261
194,KO,2019-06-17,51.25,51.48,50.61,50.87,12322605
195,KO,2019-06-18,51.25,51.3,50.53,50.64,9221096
196,KO,2019-06-19,50.54,51.24,50.47,51.12,9414126
197,KO,2019-06-20,51.5,51.79,51.35,51.66,10656580
198,KO,2019-06-21,51.53,51.89,51.41,51.55,21264422
199,KO,2019-06-24,51.74,52.2,51.7,51.92,10780166
200,KO,2019-06-25,52.0,52.1,51.64,51.76,11519910
201,KO,2019-06-26,51.52,51.64,51.09,51.12,12405074
202,KO,2019-06-27,51.29,51.4,50.97,51.08,12374915
203,KO,2019-06-28,51.27,51.4,50.52,50.92,16339869
204,KO,2019-07-01,51.07,51.63,50.78,51.6,14983242
205,KO,2019-07-02,51.78,52.05,51.55,51.98,8570397
206,KO,2019-07-03,52.0,52.33,52.0,52.1,7253702
207,KO,2019-07-05,51.89,52.12,51.48,52.11,8916270
208,KO,2019-07-08,52.2,52.33,51.89,52.0,9495084
209,KO,2019-07-09,51.72,51.97,51.43,51.59,10584925
210,KO,2019-07-10,51.8,51.97,51.66,51.82,7620933
211,KO,2019-07-11,51.99,52.06,51.66,52.04,10376532
212,KO,2019-07-12,52.25,52.29,51.91,52.12,7347728
213,KO,2019-07-15,52.28,52.29,51.87,52.13,5876139
214,KO,2019-07-16,51.96,52.47,51.81,52.14,7132540
215,KO,2019-07-17,52.22,52.26,52.01,52.18,8264361
216,KO,2019-07-18,52.04,52.17,51.67,52.03,11912294
