new_column,ts_code,trade_date,open,high,low,close,vol
0,LLY,2018-09-06,105.67,105.75,103.66,105.37,3180701
1,LLY,2018-09-07,105.15,107.24,104.8,107.03,3822938
2,LLY,2018-09-10,107.5,107.84,106.39,106.42,2950799
3,LLY,2018-09-11,106.41,106.62,105.515,105.64,3516440
4,LLY,2018-09-12,105.81,106.49,105.51,105.97,3925971
5,LLY,2018-09-13,106.16,106.71,105.82,106.58,5167412
6,LLY,2018-09-14,106.57,106.69,105.4,105.77,3103127
7,LLY,2018-09-17,105.61,106.77,105.05,105.71,4972164
8,LLY,2018-09-18,105.87,107.19,105.11,106.88,3668807
9,LLY,2018-09-19,106.88,107.07,105.5,105.74,3270389
10,LLY,2018-09-20,105.72,106.11,104.22,106.07,3761998
11,LLY,2018-09-21,106.23,106.87,105.35,106.33,5333680
12,LLY,2018-09-24,105.95,106.67,105.59,105.59,3095472
13,LLY,2018-09-25,106.01,106.76,105.54,105.7,3775742
14,LLY,2018-09-26,106.06,107.37,106.01,106.31,3707259
15,LLY,2018-09-27,106.49,107.17,106.21,106.69,2093719
16,LLY,2018-09-28,106.77,107.74,106.3,107.31,2812344
17,LLY,2018-10-01,107.67,107.71,107.03,107.6,2707981
18,LLY,2018-10-02,107.5,108.14,107.19,107.96,3787914
19,LLY,2018-10-03,108.47,109.61,108.24,108.62,5097152
20,LLY,2018-10-04,113.62,115.68,111.04,112.99,10940820
21,LLY,2018-10-05,114.09,115.45,114.09,115.02,8330288
22,LLY,2018-10-08,114.85,116.61,114.77,115.46,6002313
23,LLY,2018-10-09,115.09,116.0,114.23,115.45,4715996
24,LLY,2018-10-10,114.96,115.37,113.25,113.34,5602901
25,LLY,2018-10-11,113.09,113.32,106.58,107.91,7226300
26,LLY,2018-10-12,109.0,111.02,108.43,110.48,4519158
27,LLY,2018-10-15,110.5,111.81,109.98,110.62,3884714
28,LLY,2018-10-16,110.84,111.22,109.93,111.03,4192834
29,LLY,2018-10-17,110.98,113.77,110.86,113.59,4402132
30,LLY,2018-10-18,113.93,114.25,112.41,113.31,3619647
31,LLY,2018-10-19,112.88,113.36,110.66,111.92,4224178
32,LLY,2018-10-22,112.0,112.72,111.37,112.03,2938281
33,LLY,2018-10-23,110.7,111.46,109.06,110.39,3756996
34,LLY,2018-10-24,110.22,111.15,106.19,106.32,6739409
35,LLY,2018-10-25,106.43,108.82,104.17,107.89,4114808
36,LLY,2018-10-26,107.05,107.47,105.06,106.39,4464491
37,LLY,2018-10-29,107.45,109.08,106.3,107.4,3587793
38,LLY,2018-10-30,107.23,108.51,107.08,108.34,3325906
39,LLY,2018-10-31,109.59,110.43,108.35,108.44,4349230
40,LLY,2018-11-01,108.74,109.23,107.33,107.86,3639419
41,LLY,2018-11-02,108.14,108.39,105.93,106.75,3577348
42,LLY,2018-11-05,110.43,112.08,109.76,110.14,7368580
43,LLY,2018-11-06,109.0,109.3,104.95,105.9,6803677
44,LLY,2018-11-07,106.85,110.78,106.72,109.72,5875413
45,LLY,2018-11-08,109.49,110.94,109.01,110.1,3666296
46,LLY,2018-11-09,110.42,112.54,109.7,112.21,5054447
47,LLY,2018-11-12,112.26,114.71,112.26,113.2,5078884
48,LLY,2018-11-13,114.25,114.25,111.83,112.39,4239691
49,LLY,2018-11-14,112.36,112.65,109.74,109.81,5392810
50,LLY,2018-11-15,109.18,112.23,108.54,112.2,4796847
51,LLY,2018-11-16,111.68,114.3,111.67,113.83,4766426
52,LLY,2018-11-19,113.0,116.1,113.0,115.81,4869819
53,LLY,2018-11-20,114.88,116.2,114.32,114.72,4877472
54,LLY,2018-11-21,114.28,114.28,112.13,112.23,3619688
55,LLY,2018-11-23,111.86,113.81,111.4011,112.87,1896989
56,LLY,2018-11-26,111.26,113.6,110.97,112.38,3296174
57,LLY,2018-11-27,112.28,114.25,111.71,114.22,3263212
58,LLY,2018-11-28,114.73,115.83,113.76,115.53,4814474
59,LLY,2018-11-29,115.3,117.93,114.97,117.0,4688290
60,LLY,2018-11-30,117.61,118.71,116.22,118.64,8965653
61,LLY,2018-12-03,118.64,118.69,117.54,118.52,4290056
62,LLY,2018-12-04,118.65,119.84,116.32,116.52,5676621
63,LLY,2018-12-06,115.32,115.99,112.98,115.84,5064370
64,LLY,2018-12-07,115.53,115.78,112.77,113.58,4128118
65,LLY,2018-12-10,113.6,114.65,111.02,114.09,3832638
66,LLY,2018-12-11,114.84,115.62,113.92,114.5,3806777
67,LLY,2018-12-12,115.48,115.74,114.27,114.34,3758775
68,LLY,2018-12-13,114.62,115.15,113.84,114.86,3609870
69,LLY,2018-12-14,114.29,114.58,111.24,111.93,5306062
70,LLY,2018-12-17,111.21,111.3,107.72,108.36,6121672
71,LLY,2018-12-18,109.43,109.66,105.67,106.5,6864411
72,LLY,2018-12-19,111.54,111.54,107.7,109.11,8362827
73,LLY,2018-12-20,109.1,110.16,108.12,109.29,8362313
74,LLY,2018-12-21,109.29,111.51,108.68,109.42,13154487
75,LLY,2018-12-24,109.35,109.41,106.63,106.75,3283982
76,LLY,2018-12-26,106.76,111.09,106.43,111.09,3792440
77,LLY,2018-12-27,110.24,112.9,108.73,112.89,4101569
78,LLY,2018-12-28,113.4,115.09,112.59,114.2,3983974
79,LLY,2018-12-31,114.34,115.85,114.2435,115.72,2731012
80,LLY,2019-01-02,114.79,115.43,112.75,114.88,4247101
81,LLY,2019-01-03,114.72,114.74,111.1,111.31,4203286
82,LLY,2019-01-04,112.21,114.84,111.74,114.66,5795155
83,LLY,2019-01-07,112.37,116.44,112.05,115.28,7749593
