new_column,ts_code,trade_date,open,high,low,close,vol
0,MA,2018-09-06,211.44,213.27,210.47,212.77,3032908
1,MA,2018-09-07,211.02,213.24,209.7,211.09,3298535
2,MA,2018-09-10,212.66,213.48,211.38,211.67,3326193
3,MA,2018-09-11,210.52,213.56,210.1,213.45,2728610
4,MA,2018-09-12,213.05,214.46,211.86,214.03,2291506
5,MA,2018-09-13,214.77,218.69,214.37,217.22,3897953
6,MA,2018-09-14,218.0,218.82,216.42,217.96,2638024
7,MA,2018-09-17,219.97,219.98,216.11,216.47,2500931
8,MA,2018-09-18,217.46,220.96,217.3,220.05,2851356
9,MA,2018-09-19,220.63,221.41,217.16,218.19,2882966
10,MA,2018-09-20,219.98,221.92,218.9,221.39,3108564
11,MA,2018-09-21,222.14,223.37,220.89,221.9,7177811
12,MA,2018-09-24,220.41,222.14,218.21,221.35,2520247
13,MA,2018-09-25,221.92,223.04,221.22,222.12,2181328
14,MA,2018-09-26,222.62,224.36,221.7,222.26,2963613
15,MA,2018-09-27,222.69,223.61,222.06,222.31,2645186
16,MA,2018-09-28,222.13,223.69,221.05,222.61,2954987
17,MA,2018-10-01,224.84,225.35,223.09,223.77,2955567
18,MA,2018-10-02,223.5,223.73,221.01,222.37,3060972
19,MA,2018-10-03,223.78,224.33,222.55,223.13,2662415
20,MA,2018-10-04,222.07,222.15,214.59,216.15,5664863
21,MA,2018-10-05,216.45,217.19,211.85,213.26,4268256
22,MA,2018-10-08,211.7,211.8,203.25,208.26,5610955
23,MA,2018-10-09,208.06,210.99,206.69,209.76,5659367
24,MA,2018-10-10,209.33,209.33,196.01,196.69,8455000
25,MA,2018-10-11,194.65,199.73,192.91,194.51,9185152
26,MA,2018-10-12,200.57,204.84,199.54,204.22,6160285
27,MA,2018-10-15,203.72,203.8,199.53,200.32,3969219
28,MA,2018-10-16,202.68,208.12,202.53,207.78,4694920
29,MA,2018-10-17,207.63,208.0,204.69,207.38,4431154
30,MA,2018-10-18,206.97,207.22,202.26,203.62,6264474
31,MA,2018-10-19,203.87,207.44,203.0,203.06,4832515
32,MA,2018-10-22,203.72,206.26,201.88,204.5,4045080
33,MA,2018-10-23,199.49,203.73,196.6,202.43,5076762
34,MA,2018-10-24,202.64,203.47,195.38,195.69,4415868
35,MA,2018-10-25,197.0,205.1,195.71,204.2,4940685
36,MA,2018-10-26,199.2,202.41,195.73,197.49,6523587
37,MA,2018-10-29,200.35,202.34,187.63,191.04,6623805
38,MA,2018-10-30,192.58,193.63,183.75,187.73,9239212
39,MA,2018-10-31,193.25,199.96,193.25,197.67,7683459
40,MA,2018-11-01,198.89,200.0,195.01,199.71,4439047
41,MA,2018-11-02,198.92,200.99,195.25,197.72,4261579
42,MA,2018-11-05,198.2,199.13,194.29,197.98,3110772
43,MA,2018-11-06,198.5,200.67,197.53,199.15,2916225
44,MA,2018-11-07,202.19,208.38,201.74,208.24,4922836
45,MA,2018-11-08,207.36,208.86,206.0,208.86,3922167
46,MA,2018-11-09,207.38,207.98,203.42,205.62,3229908
47,MA,2018-11-12,204.62,205.25,198.73,199.14,3507348
48,MA,2018-11-13,199.78,202.25,197.55,198.17,2851971
49,MA,2018-11-14,200.56,202.23,195.61,197.58,3218798
50,MA,2018-11-15,197.02,201.15,194.33,200.71,3424560
51,MA,2018-11-16,199.0,200.91,197.45,199.04,2939576
52,MA,2018-11-19,199.04,199.4,188.55,189.28,4488096
53,MA,2018-11-20,181.98,188.8,177.4,187.06,7892937
54,MA,2018-11-21,188.54,190.09,186.24,187.66,3950184
55,MA,2018-11-23,184.88,186.23,182.26,182.6,2601000
56,MA,2018-11-26,185.58,192.23,183.68,191.85,6917227
57,MA,2018-11-27,190.75,193.04,189.45,192.98,3976519
58,MA,2018-11-28,195.0,202.47,193.27,202.28,6203007
59,MA,2018-11-29,202.05,202.05,196.31,196.66,5447695
60,MA,2018-11-30,196.59,201.67,195.8,201.07,7944649
61,MA,2018-12-03,206.01,209.91,205.94,209.86,6598277
62,MA,2018-12-04,207.39,209.52,199.62,200.49,6628566
63,MA,2018-12-06,194.8,203.3673,194.22,202.99,6558875
64,MA,2018-12-07,203.78,206.52,194.9,196.5,4968069
65,MA,2018-12-10,194.65,198.72,193.0,198.06,4101032
66,MA,2018-12-11,201.08,201.4,196.06,197.74,3582443
67,MA,2018-12-12,200.46,205.96,200.26,200.29,5160068
68,MA,2018-12-13,200.8,202.2,195.31,198.96,5246174
69,MA,2018-12-14,196.6,197.24,193.19,195.33,3801699
70,MA,2018-12-17,193.5,193.5411,188.7658,190.45,5460289
71,MA,2018-12-18,192.06,194.35,190.1,191.61,4345203
72,MA,2018-12-19,190.93,194.35,184.76,187.12,6100646
73,MA,2018-12-20,185.6,188.34,180.23,182.71,6562735
74,MA,2018-12-21,181.2,185.27,175.0,175.19,8374291
75,MA,2018-12-24,173.15,177.98,171.89,174.65,4351915
76,MA,2018-12-26,176.0,186.5,176.0,186.43,5261366
77,MA,2018-12-27,183.98,188.7,180.16,188.69,4695211
78,MA,2018-12-28,189.71,190.1,184.181,186.16,4830426
79,MA,2018-12-31,186.92,189.0,186.36,188.65,3658494
80,MA,2019-01-02,185.83,190.82,185.31,189.74,4294038
81,MA,2019-01-03,187.5,187.51,180.98,181.18,5071336
82,MA,2019-01-04,184.85,191.25,184.44,189.76,4452864
83,MA,2019-01-07,190.63,193.02,189.71,191.22,4219351
84,MA,2019-01-08,189.9,192.49,188.5,192.28,5069727
85,MA,2019-01-09,194.3,196.55,193.28,195.77,5471549
86,MA,2019-01-10,193.03,197.24,191.32,196.95,3693776
87,MA,2019-01-11,196.07,196.7,194.71,195.9,2500187
88,MA,2019-01-14,194.38,197.0,194.0,195.43,3336661
89,MA,2019-01-15,195.22,197.35,193.1,196.52,3783022
90,MA,2019-01-16,197.51,198.41,196.5,197.77,3546393
91,MA,2019-01-17,197.45,200.4,197.1,199.31,2764372
92,MA,2019-01-18,201.18,202.53,200.02,202.0,4866871
93,MA,2019-01-22,199.79,201.0,197.65,199.46,4457655
94,MA,2019-01-23,201.05,201.06,196.6,198.35,3086372
95,MA,2019-01-24,198.42,200.2,197.93,199.79,2792247
96,MA,2019-01-25,202.19,203.89,199.79,202.94,4687308
97,MA,2019-01-28,200.74,200.98,198.06,200.16,3277232
98,MA,2019-01-29,200.19,200.67,197.66,199.24,3661922
99,MA,2019-01-30,200.42,204.83,199.9,204.02,4079538
100,MA,2019-01-31,209.8,212.97,208.0,211.13,11316235
101,MA,2019-02-01,211.99,214.64,211.2,213.77,6470065
102,MA,2019-02-04,214.35,214.95,213.2,214.91,4397521
103,MA,2019-02-05,215.0,216.7,214.95,215.86,3091476
104,MA,2019-02-06,215.25,215.9,213.68,215.3,2697964
105,MA,2019-02-07,213.46,214.45,211.6,213.97,2742885
106,MA,2019-02-08,212.0,216.63,212.0,216.58,3248411
107,MA,2019-02-11,216.99,218.65,216.34,217.1,2974373
108,MA,2019-02-12,218.56,219.49,217.64,218.91,3411398
109,MA,2019-02-13,219.79,221.28,219.44,220.54,2996829
110,MA,2019-02-14,219.51,220.98,218.62,219.81,2875629
111,MA,2019-02-15,222.19,222.35,220.48,222.11,2758470
112,MA,2019-02-19,221.43,221.96,220.36,220.59,2836861
113,MA,2019-02-20,221.22,221.83,219.4,221.11,3103564
114,MA,2019-02-21,220.21,221.03,218.62,219.31,3528836
115,MA,2019-02-22,220.0,223.63,219.7,223.32,3295639
116,MA,2019-02-25,225.0,225.4,223.0,223.32,3359156
117,MA,2019-02-26,222.16,225.18,222.05,224.0,2852267
118,MA,2019-02-27,223.04,224.61,221.74,224.57,2119937
119,MA,2019-02-28,224.09,225.6,223.66,224.77,3240405
120,MA,2019-03-01,226.88,228.15,225.36,227.25,3001730
121,MA,2019-03-04,227.31,228.5,223.67,226.29,2977693
122,MA,2019-03-05,226.23,226.92,225.29,226.22,2779085
123,MA,2019-03-06,225.85,226.51,223.95,224.47,2849295
124,MA,2019-03-07,223.62,224.44,220.74,222.41,3879922
125,MA,2019-03-08,218.38,222.19,215.93,221.87,2691837
126,MA,2019-03-11,222.94,226.13,222.84,225.64,2670194
127,MA,2019-03-12,226.59,228.2,226.22,226.94,2478896
128,MA,2019-03-13,228.37,231.33,227.8,228.5,2690361
129,MA,2019-03-14,228.7,230.21,227.41,229.51,2838729
130,MA,2019-03-15,228.82,232.76,228.81,231.17,3894538
131,MA,2019-03-18,232.29,232.5,229.11,230.39,2734329
132,MA,2019-03-19,231.54,232.1,230.33,231.01,3212000
133,MA,2019-03-20,229.73,231.94,227.84,229.89,3747403
134,MA,2019-03-21,228.2,237.08,228.18,235.87,4441059
135,MA,2019-03-22,234.84,236.0,230.68,230.76,3709381
136,MA,2019-03-25,230.39,231.94,228.55,230.42,3506468
137,MA,2019-03-26,232.96,233.63,231.45,233.29,3046898
138,MA,2019-03-27,233.92,234.2,229.65,232.52,2640702
139,MA,2019-03-28,233.42,235.33,232.37,234.86,2712090
140,MA,2019-03-29,236.49,236.64,233.97,235.45,3453858
141,MA,2019-04-01,238.3,239.75,236.94,239.05,3475901
142,MA,2019-04-02,239.23,239.87,238.07,239.26,3386726
143,MA,2019-04-03,240.28,240.93,237.82,238.93,2912450
144,MA,2019-04-04,238.7,238.77,233.76,236.06,3096332
145,MA,2019-04-05,237.21,237.96,236.11,236.63,2590044
146,MA,2019-04-08,235.72,236.28,233.12,236.27,2714544
147,MA,2019-04-09,235.29,237.25,235.0,235.91,2491354
148,MA,2019-04-10,237.0,237.95,236.11,237.06,1984176
149,MA,2019-04-11,238.0,238.0,235.04,236.04,1908232
150,MA,2019-04-12,237.03,239.0,236.08,238.83,3452168
151,MA,2019-04-15,239.52,239.86,237.19,239.15,3437536
152,MA,2019-04-16,240.0,240.97,238.95,240.09,2564480
153,MA,2019-04-17,240.67,241.24,238.95,241.0,2829235
154,MA,2019-04-18,242.53,242.65,240.46,240.89,3016796
155,MA,2019-04-22,239.8,243.14,239.07,243.05,2217754
156,MA,2019-04-23,243.9,244.5,242.45,243.49,3108408
157,MA,2019-04-24,243.63,246.08,242.81,245.29,3255232
158,MA,2019-04-25,244.7,246.85,244.02,245.61,3152421
159,MA,2019-04-26,246.05,247.15,243.22,246.68,3349310
160,MA,2019-04-29,246.88,248.21,245.86,247.13,3274889
161,MA,2019-04-30,251.09,257.43,250.51,254.24,7179637
162,MA,2019-05-01,254.9,256.25,248.67,248.75,5146013
163,MA,2019-05-02,247.56,248.27,244.28,247.19,4747332
164,MA,2019-05-03,248.61,249.85,247.46,247.95,3194160
165,MA,2019-05-06,241.49,249.08,240.05,248.64,3022015
166,MA,2019-05-07,247.27,247.73,242.6,245.06,4257546
167,MA,2019-05-08,244.54,247.55,243.75,245.33,3050728
168,MA,2019-05-09,241.89,245.53,239.96,245.31,3891243
169,MA,2019-05-10,243.87,248.72,241.33,247.43,2816229
170,MA,2019-05-13,241.51,243.91,240.36,241.38,4137245
171,MA,2019-05-14,242.12,247.44,241.9,245.94,3862061
172,MA,2019-05-15,244.33,251.04,244.21,249.15,4186938
173,MA,2019-05-16,250.44,255.15,250.33,253.42,4911936
174,MA,2019-05-17,251.11,254.29,250.84,252.55,3129869
175,MA,2019-05-20,250.49,254.39,249.33,253.49,2951885
176,MA,2019-05-21,255.0,255.95,253.79,255.36,2881574
177,MA,2019-05-22,254.75,258.86,254.5,256.9,2936132
178,MA,2019-05-23,254.75,255.7,248.33,249.73,5072825
179,MA,2019-05-24,253.14,253.37,250.33,251.48,2710979
180,MA,2019-05-28,252.66,257.76,252.65,253.43,6252091
181,MA,2019-05-29,252.25,254.25,251.27,253.56,4014738
182,MA,2019-05-30,254.27,256.06,252.79,254.19,2817431
183,MA,2019-05-31,251.98,253.66,250.84,251.49,5041674
184,MA,2019-06-03,251.8,252.98,240.25,242.26,5452117
185,MA,2019-06-04,245.13,249.37,241.72,249.18,4862214
186,MA,2019-06-05,251.47,256.97,250.15,256.26,4742351
187,MA,2019-06-06,256.36,258.7,254.86,257.83,3443503
188,MA,2019-06-07,260.0,266.87,259.62,265.8,3691876
189,MA,2019-06-10,269.0,269.85,265.28,266.1,4469011
190,MA,2019-06-11,267.47,267.89,259.18,263.66,3119822
191,MA,2019-06-12,262.45,264.21,261.36,263.85,2295582
192,MA,2019-06-13,265.0,265.23,260.25,261.2,4331030
193,MA,2019-06-14,259.99,261.98,259.42,260.1,3158167
194,MA,2019-06-17,261.0,261.71,258.05,259.2,3332201
195,MA,2019-06-18,261.7,262.25,255.07,258.81,3921313
196,MA,2019-06-19,258.83,260.62,258.3,259.87,4326451
197,MA,2019-06-20,263.49,267.7,262.5,266.79,4667305
198,MA,2019-06-21,265.82,268.15,264.42,264.47,4285826
199,MA,2019-06-24,265.85,267.1,265.13,265.3,2538233
200,MA,2019-06-25,266.04,266.31,259.12,259.73,3137962
201,MA,2019-06-26,260.88,262.65,259.99,261.3,3869362
202,MA,2019-06-27,262.44,263.58,260.4,261.1,2186857
203,MA,2019-06-28,263.09,264.84,261.33,264.53,4400979
204,MA,2019-07-01,269.99,269.99,264.87,266.77,2649210
205,MA,2019-07-02,266.88,270.6,266.43,270.57,2649648
206,MA,2019-07-03,271.0,273.08,270.78,273.08,1896816
207,MA,2019-07-05,271.5,272.77,269.09,272.14,2561004
208,MA,2019-07-08,270.1,272.07,269.46,271.23,2291791
209,MA,2019-07-09,269.82,273.65,269.5,273.34,2477597
210,MA,2019-07-10,274.17,277.1,274.15,275.38,2322970
211,MA,2019-07-11,277.6,278.65,276.08,278.32,2583945
212,MA,2019-07-12,279.24,279.74,276.26,279.54,2299980
213,MA,2019-07-15,280.46,280.59,278.55,279.37,3349518
214,MA,2019-07-16,279.0,280.63,275.31,276.62,2976028
215,MA,2019-07-17,277.39,278.47,275.27,275.28,2319268
216,MA,2019-07-18,275.0,277.25,274.74,276.78,3242092
217,MA,2019-07-19,279.43,279.48,275.42,275.6,3048222
218,MA,2019-07-22,276.91,279.36,276.07,278.61,2093004
219,MA,2019-07-23,280.0,280.42,276.9,278.97,2275405
220,MA,2019-07-24,278.17,280.3,276.38,280.25,2805211
221,MA,2019-07-25,280.0,280.9,277.55,279.35,2312275
222,MA,2019-07-26,280.6,282.29,280.08,282.07,2942391
223,MA,2019-07-29,283.12,283.33,280.43,281.44,3677650
224,MA,2019-07-30,279.34,282.37,275.45,278.16,3961013
225,MA,2019-07-31,278.67,278.98,265.69,272.27,5513056
226,MA,2019-08-01,273.93,279.31,271.64,274.16,4988113
227,MA,2019-08-02,272.0,272.5,265.68,269.45,4438017
228,MA,2019-08-05,260.0,262.65,253.9,256.84,6861319
229,MA,2019-08-06,261.8,265.15,260.18,264.68,4918499
230,MA,2019-08-07,263.4,270.0,260.25,269.31,4475969
231,MA,2019-08-08,272.0,278.08,271.6,278.04,4135475
232,MA,2019-08-09,275.51,276.9,273.08,274.95,3410530
233,MA,2019-08-12,272.85,274.98,268.89,270.0,3861432
234,MA,2019-08-13,269.83,275.37,268.0,274.53,3926426
235,MA,2019-08-14,269.82,272.47,265.85,267.15,3750345
236,MA,2019-08-15,269.28,273.15,268.09,271.89,3364264
237,MA,2019-08-16,274.98,275.96,273.79,274.36,2718148
238,MA,2019-08-19,277.0,278.57,275.21,278.07,2502640
239,MA,2019-08-20,278.4,279.56,275.85,277.04,2583697
240,MA,2019-08-21,279.64,282.1,279.29,282.01,2492795
241,MA,2019-08-22,282.11,282.89,276.76,280.77,2975974
242,MA,2019-08-23,280.0,282.09,270.21,271.89,4417798
243,MA,2019-08-26,274.88,276.43,272.98,276.43,2185018
244,MA,2019-08-27,276.74,279.09,274.91,276.64,2170169
245,MA,2019-08-28,275.23,278.65,273.37,278.24,2306887
246,MA,2019-08-29,281.0,281.98,278.88,281.38,2297871
247,MA,2019-08-30,282.59,282.96,278.73,281.37,2600265
248,MA,2019-09-03,279.99,282.84,278.5,280.11,2350841
249,MA,2019-09-04,282.77,286.21,282.15,286.1,2630958
250,MA,2019-09-05,290.29,293.46,289.6,292.08,3808303
251,MA,2019-09-06,291.94,293.07,290.05,291.38,2782779
252,MA,2019-09-09,293.49,293.69,280.1,283.36,4794198
253,MA,2019-09-10,281.34,281.5,270.34,272.33,8680334
254,MA,2019-09-11,274.92,276.0,269.2,269.95,6336941
255,MA,2019-09-12,273.39,278.77,273.19,276.4,5497162
256,MA,2019-09-13,277.99,278.15,273.04,276.32,4630877
257,MA,2019-09-16,273.47,275.76,272.71,274.08,2753233
258,MA,2019-09-17,274.55,278.63,273.95,276.25,2950683
259,MA,2019-09-18,276.77,276.85,270.44,275.1,2983354
260,MA,2019-09-19,275.96,278.15,274.85,275.91,2625675
261,MA,2019-09-20,277.79,278.59,270.91,271.17,5575221
262,MA,2019-09-23,270.3,273.74,270.0,273.15,3106326
263,MA,2019-09-24,275.63,277.44,269.06,271.12,4122719
264,MA,2019-09-25,270.25,272.99,266.61,272.75,4102066
265,MA,2019-09-26,273.23,275.44,272.63,273.89,2934281
266,MA,2019-09-27,275.39,275.63,267.69,269.13,3237279
267,MA,2019-09-30,270.99,272.07,269.32,271.57,3260778
268,MA,2019-10-01,271.49,273.65,270.04,270.94,3070861
269,MA,2019-10-02,268.16,268.94,262.52,264.48,4636363
270,MA,2019-10-03,264.25,268.54,260.41,268.29,3953975
271,MA,2019-10-04,269.51,274.48,269.16,274.06,2689069
272,MA,2019-10-07,271.31,273.5,270.41,272.19,2873452
273,MA,2019-10-08,269.82,271.08,266.59,267.07,2826674
274,MA,2019-10-09,269.96,273.14,269.5,272.24,2176407
275,MA,2019-10-10,271.56,274.71,271.26,273.83,2227489
276,MA,2019-10-11,276.2,280.0,275.12,275.91,3507281
277,MA,2019-10-14,277.56,278.56,275.56,276.38,2045862
278,MA,2019-10-15,277.21,279.96,275.96,278.56,3006823
279,MA,2019-10-16,277.1,279.03,274.8,278.27,2729701
280,MA,2019-10-17,279.35,280.44,275.93,276.51,2440056
281,MA,2019-10-18,275.24,276.68,269.9,270.63,4052206
282,MA,2019-10-21,271.93,274.36,269.5,274.3,3098896
283,MA,2019-10-22,274.9,275.35,261.01,261.26,5641303
284,MA,2019-10-23,262.68,264.19,258.51,260.85,5386444
285,MA,2019-10-24,263.56,269.33,263.56,268.75,3823319
286,MA,2019-10-25,266.26,272.18,265.56,270.19,2757552
287,MA,2019-10-28,273.26,275.93,271.37,275.93,3786785
288,MA,2019-10-29,277.6,278.29,273.08,274.29,4705004
289,MA,2019-10-30,274.64,277.47,273.0,277.15,3482610
290,MA,2019-10-31,276.38,279.09,275.06,276.81,5355608
291,MA,2019-11-01,279.0,280.39,276.12,279.05,2879841
292,MA,2019-11-04,280.64,282.24,275.81,276.33,3724489
293,MA,2019-11-05,276.5,276.95,268.42,269.0,4714151
294,MA,2019-11-06,270.3,271.67,268.88,269.86,3741833
295,MA,2019-11-07,270.02,275.08,269.86,272.79,4277769
296,MA,2019-11-08,271.7,274.95,271.7,274.89,2240536
297,MA,2019-11-11,273.08,277.13,273.06,277.0,2132576
298,MA,2019-11-12,277.6,279.5,275.77,277.14,2217238
299,MA,2019-11-13,276.51,280.46,275.0,278.07,3332037
300,MA,2019-11-14,277.45,279.63,276.7,279.63,2365947
301,MA,2019-11-15,280.64,280.9,278.13,280.78,2544156
302,MA,2019-11-18,280.0,281.77,278.4,280.86,2715621
303,MA,2019-11-19,281.52,286.58,280.94,285.31,3013783
304,MA,2019-11-20,285.0,287.73,282.86,285.38,2903908
305,MA,2019-11-21,284.6,286.52,283.59,284.45,2777041
306,MA,2019-11-22,284.83,285.36,281.21,282.57,2967276
307,MA,2019-11-25,284.0,288.99,283.7,287.61,3760191
308,MA,2019-11-26,288.5,290.65,287.82,289.38,5715779
309,MA,2019-11-27,289.03,292.0,288.91,291.7,2163163
310,MA,2019-11-29,290.23,293.0,290.23,292.23,1754443
311,MA,2019-12-02,290.59,290.75,283.89,286.47,3062310
312,MA,2019-12-03,282.2,287.6,281.5,287.09,3052274
313,MA,2019-12-04,288.5,289.62,286.12,286.84,2743172
314,MA,2019-12-05,287.95,290.95,286.4,289.85,2580270
315,MA,2019-12-06,292.31,292.5,289.68,290.4,2425162
316,MA,2019-12-09,289.19,290.96,288.26,289.06,1902833
317,MA,2019-12-10,289.0,290.17,287.71,288.61,2514261
318,MA,2019-12-11,289.76,290.32,288.11,290.05,2276747
319,MA,2019-12-12,289.9,292.75,288.27,292.21,2746435
320,MA,2019-12-13,290.79,296.53,289.8,296.09,3565172
321,MA,2019-12-16,298.11,299.48,296.86,296.96,4210656
322,MA,2019-12-17,298.5,298.5,293.77,296.0,3354463
323,MA,2019-12-18,295.2,297.3,294.74,294.74,2900647
324,MA,2019-12-19,294.49,298.18,294.11,297.53,2536920
325,MA,2019-12-20,300.55,300.55,296.81,298.57,5099324
326,MA,2019-12-23,298.74,299.83,297.1,297.27,3590495
327,MA,2019-12-24,297.96,298.31,296.6,297.48,641086
328,MA,2019-12-26,298.11,299.37,297.8,299.2,1369190
329,MA,2019-12-27,300.0,301.53,298.18,300.74,2042564
330,MA,2019-12-30,300.83,301.05,295.28,297.72,2717486
331,MA,2019-12-31,296.1,298.93,295.77,298.59,2478601
332,MA,2020-01-02,300.46,303.53,299.5,303.39,3272308
333,MA,2020-01-03,299.46,302.42,298.6,300.43,2501256
334,MA,2020-01-06,297.36,301.33,296.02,301.23,3306110
335,MA,2020-01-07,301.74,303.38,299.88,300.21,3188065
336,MA,2020-01-08,300.78,306.95,300.51,305.1,3224335
337,MA,2020-01-09,308.28,310.94,308.02,309.1,3292591
338,MA,2020-01-10,311.58,311.95,308.74,311.17,2948001
339,MA,2020-01-13,313.26,315.64,312.9,315.21,3236341
340,MA,2020-01-14,316.18,316.42,309.86,310.64,4951131
341,MA,2020-01-15,312.19,315.73,311.04,314.25,4661913
342,MA,2020-01-16,317.5,320.33,314.99,320.3,3322471
343,MA,2020-01-17,321.43,324.03,319.24,323.66,4819605
344,MA,2020-01-21,322.41,325.66,321.49,321.93,5996593
345,MA,2020-01-22,324.95,326.79,324.12,324.31,3516741
