new_column,ts_code,trade_date,open,high,low,close,vol
0,MRK,2018-09-06,68.97,69.54,68.82,69.38,9637624
1,MRK,2018-09-07,69.16,69.78,68.85,69.67,9515215
2,MRK,2018-09-10,70.0,70.59,69.53,69.56,7267875
3,MRK,2018-09-11,69.8,69.8,69.07,69.08,5815481
4,MRK,2018-09-12,69.4,70.02,69.12,69.86,6090009
5,MRK,2018-09-13,70.16,70.94,69.58,70.83,10258190
6,MRK,2018-09-14,70.74,70.74,69.66,69.98,7435988
7,MRK,2018-09-17,69.85,70.46,69.65,70.42,6697276
8,MRK,2018-09-18,70.41,70.9,69.9,70.42,6800546
9,MRK,2018-09-19,70.15,70.57,69.64,69.98,7944187
10,MRK,2018-09-20,70.35,70.83,70.05,70.78,6140720
11,MRK,2018-09-21,70.91,71.58,70.91,71.1,17033118
12,MRK,2018-09-24,70.92,71.3,70.63,70.78,6438828
13,MRK,2018-09-25,70.85,71.38,70.52,70.65,6460371
14,MRK,2018-09-26,70.93,71.15,70.18,70.33,6928378
15,MRK,2018-09-27,70.33,71.18,70.08,70.72,6026173
16,MRK,2018-09-28,70.72,71.2,70.65,70.94,6808847
17,MRK,2018-10-01,71.07,71.89,70.61,71.53,7629853
18,MRK,2018-10-02,71.97,72.17,71.09,71.75,10395642
19,MRK,2018-10-03,72.09,72.42,71.35,71.37,9577563
20,MRK,2018-10-04,71.12,71.36,70.46,71.22,10340686
21,MRK,2018-10-05,71.23,71.69,70.58,71.03,7433463
22,MRK,2018-10-08,70.93,71.7,70.89,71.46,8854797
23,MRK,2018-10-09,71.46,72.66,70.97,72.34,7871282
24,MRK,2018-10-10,72.48,72.89,70.39,70.45,12651947
25,MRK,2018-10-11,70.37,70.53,67.82,68.37,12873989
26,MRK,2018-10-12,68.7,70.06,68.42,69.81,10161183
27,MRK,2018-10-15,69.19,70.21,68.93,69.46,6580933
28,MRK,2018-10-16,69.85,71.31,69.75,71.22,10229047
29,MRK,2018-10-17,71.09,71.94,70.8,71.82,9344523
30,MRK,2018-10-18,72.15,72.4,71.42,72.21,12225953
31,MRK,2018-10-19,72.3,72.66,71.94,72.35,14513382
32,MRK,2018-10-22,72.97,73.49,71.85,72.57,11914307
33,MRK,2018-10-23,72.16,72.42,71.22,72.1,11561871
34,MRK,2018-10-24,71.82,72.64,70.23,70.54,14645170
35,MRK,2018-10-25,66.94,70.57,66.1,69.96,20566489
36,MRK,2018-10-26,69.77,70.78,68.88,70.4,16950648
37,MRK,2018-10-29,71.37,73.03,70.55,71.45,18839556
38,MRK,2018-10-30,71.69,72.96,71.5,72.87,18937000
39,MRK,2018-10-31,73.41,74.49,72.77,73.61,15863094
