new_column,ts_code,trade_date,open,high,low,close,vol
0,ORCL,2018-09-06,47.95,48.22,47.52,47.71,18456181
1,ORCL,2018-09-07,47.46,47.99,47.33,47.81,20513945
2,ORCL,2018-09-10,48.0,49.05,48.0,48.86,20390567
3,ORCL,2018-09-11,48.52,49.05,48.52,48.92,14877344
4,ORCL,2018-09-12,48.75,49.47,48.62,49.34,17058745
5,ORCL,2018-09-13,49.28,49.75,48.88,48.96,22124422
6,ORCL,2018-09-14,48.94,49.45,48.94,49.25,20066084
7,ORCL,2018-09-17,49.31,49.94,49.11,49.18,29225048
8,ORCL,2018-09-18,47.51,49.54,47.36,49.03,33451106
9,ORCL,2018-09-19,48.92,49.54,48.66,49.43,20904826
10,ORCL,2018-09-20,49.66,51.08,49.56,50.43,26973480
11,ORCL,2018-09-21,50.83,51.12,50.35,51.1,50752079
12,ORCL,2018-09-24,50.81,51.6,50.71,51.24,23906147
13,ORCL,2018-09-25,51.39,51.93,50.97,51.72,18665820
14,ORCL,2018-09-26,51.75,52.11,51.56,51.63,18131040
15,ORCL,2018-09-27,51.56,52.02,51.33,51.69,17993500
16,ORCL,2018-09-28,51.54,52.01,51.49,51.56,16234246
17,ORCL,2018-10-01,51.22,51.99,51.14,51.8,19217922
18,ORCL,2018-10-02,51.65,51.8,50.13,50.23,22406822
19,ORCL,2018-10-03,49.59,50.1,49.59,49.75,21207699
20,ORCL,2018-10-04,49.68,49.78,49.17,49.47,19033961
21,ORCL,2018-10-05,49.42,49.77,49.12,49.35,16900168
22,ORCL,2018-10-08,49.27,49.64,48.9,49.36,16295812
23,ORCL,2018-10-09,49.11,49.4,48.83,48.87,19009806
24,ORCL,2018-10-10,48.81,48.98,47.37,47.4,20885381
25,ORCL,2018-10-11,47.33,47.89,46.49,46.78,26387578
26,ORCL,2018-10-12,47.4,47.75,46.66,47.38,23152878
27,ORCL,2018-10-15,46.96,47.62,46.87,47.12,15693598
28,ORCL,2018-10-16,47.57,48.42,47.47,48.23,13600168
29,ORCL,2018-10-17,47.43,48.24,47.43,47.86,15071061
30,ORCL,2018-10-18,47.57,48.14,47.13,47.38,15084839
31,ORCL,2018-10-19,47.5,48.24,47.35,47.59,17768405
32,ORCL,2018-10-22,47.85,48.49,47.71,47.94,16480411
33,ORCL,2018-10-23,47.16,48.32,47.12,47.99,18921508
34,ORCL,2018-10-24,47.88,48.3,46.7,46.76,20028237
35,ORCL,2018-10-25,47.42,48.29,47.28,47.96,19349505
36,ORCL,2018-10-26,47.24,48.07,46.71,47.32,23089139
37,ORCL,2018-10-29,47.81,48.09,46.34,47.02,19248721
38,ORCL,2018-10-30,47.08,48.62,46.92,48.57,24438150
39,ORCL,2018-10-31,49.05,49.45,48.59,48.84,21082852
40,ORCL,2018-11-01,48.96,49.24,48.34,48.59,17764930
41,ORCL,2018-11-02,48.93,49.02,48.24,48.83,17289522
42,ORCL,2018-11-05,49.0,49.13,48.5,49.02,13125823
43,ORCL,2018-11-06,49.1,49.47,48.83,49.25,12362678
44,ORCL,2018-11-07,49.58,50.5,49.47,50.26,14330012
45,ORCL,2018-11-08,50.22,50.5,50.07,50.43,11967073
46,ORCL,2018-11-09,50.42,50.82,50.31,50.61,15316391
47,ORCL,2018-11-12,50.17,50.38,49.11,49.22,14374352
48,ORCL,2018-11-13,49.47,50.0,49.24,49.51,13550762
49,ORCL,2018-11-14,49.97,49.97,48.74,48.84,16093969
50,ORCL,2018-11-15,50.04,50.69,49.05,50.63,24922802
51,ORCL,2018-11-16,50.53,51.45,50.42,51.17,20929570
52,ORCL,2018-11-19,51.05,51.1,49.4,49.55,19520494
53,ORCL,2018-11-20,48.67,49.07,47.96,48.33,19389607
54,ORCL,2018-11-21,48.76,49.18,48.53,48.62,13859507
55,ORCL,2018-11-23,48.04,49.115,48.04,48.7,7807298
56,ORCL,2018-11-26,49.16,49.16,48.1,48.26,21603804
57,ORCL,2018-11-27,47.92,47.98,46.79,47.44,28054617
58,ORCL,2018-11-28,47.73,48.25,47.37,48.19,29352889
59,ORCL,2018-11-29,48.38,48.38,47.44,47.9,17052085
60,ORCL,2018-11-30,48.09,48.84,47.71,48.76,22884489
61,ORCL,2018-12-03,49.44,50.12,49.21,49.83,21966591
62,ORCL,2018-12-04,49.52,50.22,48.71,48.75,24643471
63,ORCL,2018-12-06,47.75,47.77,45.65,46.68,39877047
64,ORCL,2018-12-07,46.76,47.04,45.81,46.0,23978045
65,ORCL,2018-12-10,46.01,47.08,45.34,46.67,26375511
66,ORCL,2018-12-11,46.98,47.13,46.06,46.46,22680164
67,ORCL,2018-12-12,47.11,48.11,47.01,47.32,21404010
68,ORCL,2018-12-13,47.48,47.55,46.75,47.23,23295388
69,ORCL,2018-12-14,46.78,47.03,46.41,46.6,21434449
70,ORCL,2018-12-17,46.42,47.23,45.53,45.73,30441145
71,ORCL,2018-12-18,48.1,48.34,45.44,45.85,42855600
72,ORCL,2018-12-19,46.06,47.44,45.75,46.45,34397250
73,ORCL,2018-12-20,46.05,46.95,45.48,46.24,35165179
74,ORCL,2018-12-21,46.08,46.21,43.86,44.0,58768410
75,ORCL,2018-12-24,43.77,43.82,42.68,42.69,17230381
