new_column,ts_code,trade_date,open,high,low,close,vol
0,PEP,2018-09-06,112.0,113.53,111.44,113.5,4808260
1,PEP,2018-09-07,112.85,113.5,111.51,112.74,3834064
2,PEP,2018-09-10,112.92,113.99,112.7,113.57,3289725
3,PEP,2018-09-11,111.85,113.75,111.85,113.33,2807253
4,PEP,2018-09-12,113.31,114.23,113.04,113.85,3651358
5,PEP,2018-09-13,114.49,115.01,113.69,114.99,3808143
6,PEP,2018-09-14,114.89,114.89,113.72,114.57,2698325
7,PEP,2018-09-17,114.6,115.45,114.22,115.4,3092582
8,PEP,2018-09-18,115.48,115.48,113.69,113.98,4081437
9,PEP,2018-09-19,113.95,114.24,113.46,113.77,2844869
10,PEP,2018-09-20,114.23,115.51,114.11,115.22,3375863
11,PEP,2018-09-21,115.26,115.52,114.84,114.91,6989548
12,PEP,2018-09-24,114.1,114.72,112.2,112.27,3387617
13,PEP,2018-09-25,112.64,112.75,111.76,111.97,3538656
14,PEP,2018-09-26,112.27,112.86,111.31,111.5,4053521
15,PEP,2018-09-27,111.43,112.4,110.91,111.05,3841618
16,PEP,2018-09-28,111.54,112.05,110.91,111.8,5945256
17,PEP,2018-10-01,112.15,112.48,110.67,110.71,5064669
18,PEP,2018-10-02,110.45,111.11,107.7,108.72,6702152
19,PEP,2018-10-03,109.21,109.71,107.17,107.52,6107483
20,PEP,2018-10-04,106.85,107.4,105.8,106.61,4930274
21,PEP,2018-10-05,106.25,107.01,105.98,106.49,3438074
22,PEP,2018-10-08,106.36,108.34,106.31,108.19,3994129
23,PEP,2018-10-09,108.68,108.94,107.52,108.12,4105678
24,PEP,2018-10-10,107.59,109.35,107.2,107.34,5796166
25,PEP,2018-10-11,108.21,108.48,104.9,105.06,5755112
26,PEP,2018-10-12,105.3,105.76,104.53,105.28,4543011
27,PEP,2018-10-15,105.2,106.65,105.17,105.63,3805689
28,PEP,2018-10-16,106.31,107.69,105.84,107.39,4061579
29,PEP,2018-10-17,107.21,108.78,107.19,108.31,4495857
30,PEP,2018-10-18,108.48,109.35,107.55,107.93,4094033
31,PEP,2018-10-19,108.59,110.6,108.49,110.29,5109005
32,PEP,2018-10-22,110.09,110.89,109.24,109.4,5477714
33,PEP,2018-10-23,108.93,110.53,108.32,110.13,4484123
34,PEP,2018-10-24,110.2,114.16,109.95,112.96,8222879
35,PEP,2018-10-25,112.96,113.27,111.42,112.85,6712939
36,PEP,2018-10-26,111.62,112.06,109.69,110.45,5872775
37,PEP,2018-10-29,111.29,113.31,111.14,112.89,5705997
38,PEP,2018-10-30,113.75,114.23,112.6,113.77,4900399
39,PEP,2018-10-31,113.49,113.49,111.19,112.38,6449473
40,PEP,2018-11-01,112.0,113.14,110.98,111.51,5736715
41,PEP,2018-11-02,111.49,112.1,109.63,111.17,6705770
42,PEP,2018-11-05,111.69,114.44,111.28,114.39,5270360
43,PEP,2018-11-06,114.03,115.35,113.86,115.21,3913449
44,PEP,2018-11-07,115.45,115.77,114.44,115.61,4219594
45,PEP,2018-11-08,115.38,116.5,115.25,116.06,2925092
46,PEP,2018-11-09,116.08,117.71,116.08,117.48,5026306
47,PEP,2018-11-12,117.0,118.32,116.71,116.97,4781899
48,PEP,2018-11-13,117.75,117.75,116.21,117.14,3609927
49,PEP,2018-11-14,117.44,117.48,116.27,116.65,4423812
50,PEP,2018-11-15,116.43,116.99,115.6,116.8,4045746
51,PEP,2018-11-16,117.05,118.48,116.84,118.35,4484333
52,PEP,2018-11-19,118.08,119.52,117.97,119.01,4673935
53,PEP,2018-11-20,119.8,120.28,115.78,116.0,5088238
54,PEP,2018-11-21,115.89,116.89,114.92,115.28,3245054
55,PEP,2018-11-23,114.78,116.57,114.78,115.41,1444727
56,PEP,2018-11-26,115.88,116.43,114.99,115.86,2972459
57,PEP,2018-11-27,115.37,116.53,114.9,116.44,2884749
58,PEP,2018-11-28,115.98,118.52,115.57,118.5,3989365
59,PEP,2018-11-29,118.4,118.87,117.44,118.27,2878675
60,PEP,2018-11-30,118.13,122.0,118.13,121.94,8051115
61,PEP,2018-12-03,120.48,120.91,117.51,118.98,6112959
62,PEP,2018-12-04,119.37,120.61,117.45,117.8,7018210
63,PEP,2018-12-06,116.31,117.38,114.1,116.84,5191681
64,PEP,2018-12-07,116.37,116.98,115.38,115.82,4615881
65,PEP,2018-12-10,116.4,116.62,114.46,116.19,4150858
