new_column,ts_code,trade_date,open,high,low,close,vol
0,PG,2018-09-06,82.91,83.31,82.49,82.65,7541144
1,PG,2018-09-07,82.1,82.2,81.25,81.91,11110895
2,PG,2018-09-10,82.58,83.1,82.34,82.38,6782972
3,PG,2018-09-11,82.13,82.42,81.63,82.01,5210280
4,PG,2018-09-12,81.9,83.18,81.7,83.11,5925185
5,PG,2018-09-13,83.27,83.49,82.65,83.45,5328364
6,PG,2018-09-14,83.47,83.67,82.97,83.61,5004089
7,PG,2018-09-17,83.5,84.27,83.34,84.25,7098812
8,PG,2018-09-18,84.29,84.29,83.58,84.0,6023217
9,PG,2018-09-19,83.92,84.29,83.77,84.0,6157573
10,PG,2018-09-20,84.29,85.64,84.23,85.36,10053006
11,PG,2018-09-21,85.81,86.28,85.52,85.82,17402589
12,PG,2018-09-24,85.63,85.71,84.23,84.27,6389359
13,PG,2018-09-25,84.28,84.41,83.08,83.12,5657185
14,PG,2018-09-26,83.25,83.99,83.03,83.26,6580987
15,PG,2018-09-27,83.04,83.63,82.81,82.86,6277581
16,PG,2018-09-28,83.03,83.29,82.79,83.23,5125835
17,PG,2018-10-01,83.31,83.72,83.17,83.67,4899910
18,PG,2018-10-02,83.48,84.44,83.37,84.36,7390851
19,PG,2018-10-03,84.44,84.52,82.85,83.03,7958704
20,PG,2018-10-04,82.5,82.5,81.1,81.92,7029859
21,PG,2018-10-05,81.98,82.45,81.98,82.15,5454643
22,PG,2018-10-08,81.98,82.74,81.75,82.4,7192260
23,PG,2018-10-09,82.39,82.72,82.06,82.2,6268054
24,PG,2018-10-10,81.81,82.68,81.44,81.44,9295840
25,PG,2018-10-11,81.64,81.97,78.67,78.87,12560300
26,PG,2018-10-12,79.37,79.38,78.49,79.06,9879145
27,PG,2018-10-15,79.01,80.54,78.92,80.13,9691455
28,PG,2018-10-16,79.91,81.09,79.9,81.01,9463022
29,PG,2018-10-17,80.76,82.18,80.38,81.86,10375259
30,PG,2018-10-18,80.71,81.34,80.0,80.24,9869509
31,PG,2018-10-19,84.86,87.76,84.86,87.3,30276433
32,PG,2018-10-22,86.73,87.24,85.23,86.6,14124062
33,PG,2018-10-23,86.01,87.3,86.01,87.16,16269531
34,PG,2018-10-24,87.28,90.7,87.22,89.46,26703538
35,PG,2018-10-25,88.11,89.33,87.31,89.0,14647039
36,PG,2018-10-26,88.69,89.17,87.39,87.86,14335945
37,PG,2018-10-29,88.29,89.42,87.44,88.24,12878930
38,PG,2018-10-30,88.85,89.43,88.21,89.19,13844080
39,PG,2018-10-31,88.77,89.32,87.27,88.68,13362355
40,PG,2018-11-01,88.81,89.83,88.18,89.59,9732424
41,PG,2018-11-02,89.88,89.95,88.98,89.81,11336013
42,PG,2018-11-05,89.89,91.44,89.82,91.2,12270358
43,PG,2018-11-06,90.86,91.53,90.43,91.51,8857775
44,PG,2018-11-07,91.59,91.62,90.62,91.29,9019790
45,PG,2018-11-08,90.95,91.53,90.67,91.36,6614767
46,PG,2018-11-09,91.35,92.67,91.17,92.41,10713622
47,PG,2018-11-12,92.21,93.45,91.75,92.7,12522113
48,PG,2018-11-13,91.97,93.57,91.59,93.47,13438750
49,PG,2018-11-14,93.42,93.9,92.99,93.49,11622993
50,PG,2018-11-15,93.33,93.9,92.72,93.83,12505987
51,PG,2018-11-16,93.82,94.81,93.67,93.82,13013482
52,PG,2018-11-19,93.72,94.19,92.91,93.29,9458329
53,PG,2018-11-20,93.24,93.79,91.86,92.1,12074435
54,PG,2018-11-21,91.66,92.37,91.24,91.41,8912177
55,PG,2018-11-23,91.25,91.99,90.63,91.54,4399630
56,PG,2018-11-26,91.15,92.4,91.15,91.94,8171444
57,PG,2018-11-27,91.93,92.86,91.85,92.72,9023638
58,PG,2018-11-28,92.63,93.22,92.21,93.01,8093706
59,PG,2018-11-29,92.86,93.3,92.66,92.82,6126911
60,PG,2018-11-30,93.18,94.65,92.75,94.51,16291817
61,PG,2018-12-03,94.67,94.67,92.26,93.32,13931722
62,PG,2018-12-04,93.49,94.86,93.17,93.31,11123554
63,PG,2018-12-06,92.7,93.63,91.08,93.55,14199248
64,PG,2018-12-07,93.59,93.78,92.14,92.45,7996809
65,PG,2018-12-10,93.25,93.4,91.37,93.03,9307667
66,PG,2018-12-11,93.72,94.52,93.4,93.91,8743799
67,PG,2018-12-12,94.21,94.55,93.1,94.03,9644033
68,PG,2018-12-13,94.87,96.79,94.8,96.49,18541297
69,PG,2018-12-14,96.45,96.9,96.02,96.64,12657340
70,PG,2018-12-17,96.0,96.5,92.4,92.77,12427573
71,PG,2018-12-18,93.13,93.31,91.86,92.49,12250559
72,PG,2018-12-19,92.55,93.35,91.29,91.76,10825589
73,PG,2018-12-20,91.51,92.23,90.13,90.98,14439240
74,PG,2018-12-21,90.61,93.17,90.36,90.97,24029977
75,PG,2018-12-24,90.45,90.66,86.88,87.36,7396254
76,PG,2018-12-26,87.42,90.09,86.74,90.09,8630949
77,PG,2018-12-27,89.61,92.05,88.2,92.02,11360085
78,PG,2018-12-28,92.56,93.28,90.84,91.18,9611761
79,PG,2018-12-31,91.63,92.18,91.15,91.92,7239670
80,PG,2019-01-02,91.03,91.39,89.93,91.28,9843939
81,PG,2019-01-03,90.94,92.5,90.38,90.64,9820374
82,PG,2019-01-04,90.84,92.49,90.37,92.49,10565749
83,PG,2019-01-07,91.91,92.5,91.4,92.12,9012540
84,PG,2019-01-08,92.7,93.09,91.82,92.46,9551291
85,PG,2019-01-09,92.69,92.96,90.81,90.95,15015597
86,PG,2019-01-10,90.89,91.54,90.61,91.17,11102312
87,PG,2019-01-11,91.67,91.98,91.11,91.77,7166579
88,PG,2019-01-14,91.5,91.91,90.85,91.15,7952044
89,PG,2019-01-15,91.15,92.61,91.14,92.01,7834918
90,PG,2019-01-16,91.74,92.15,90.99,91.37,7964516
91,PG,2019-01-17,90.71,91.56,90.35,90.64,8044793
92,PG,2019-01-18,91.37,91.84,91.04,91.42,9100592
93,PG,2019-01-22,91.39,91.75,89.08,90.44,13518523
94,PG,2019-01-23,94.18,96.41,93.63,94.84,22868970
95,PG,2019-01-24,94.29,94.56,93.19,94.3,12146363
