new_column,ts_code,trade_date,open,high,low,close,vol
0,TCEHY,2018-09-06,40.16,40.56,39.86,40.51,6836707
1,TCEHY,2018-09-07,40.03,40.95,39.94,40.45,5383166
2,TCEHY,2018-09-10,40.19,40.2,38.98,39.28,7539727
3,TCEHY,2018-09-11,38.84,40.09,38.55,39.995,7561791
4,TCEHY,2018-09-12,39.34,40.25,38.97,39.83,7035558
5,TCEHY,2018-09-13,42.16,42.5,41.65,41.95,7740953
6,TCEHY,2018-09-14,42.0,42.04,40.87,41.35,5039295
7,TCEHY,2018-09-17,40.75,40.94,40.35,40.43,2885168
8,TCEHY,2018-09-18,40.63,41.05,40.55,41.04,3043523
9,TCEHY,2018-09-19,41.17,41.95,41.16,41.83,4734547
10,TCEHY,2018-09-20,41.84,42.12,41.71,41.99,5233372
11,TCEHY,2018-09-21,43.07,43.23,42.66,42.77,5876694
12,TCEHY,2018-09-24,42.15,42.17,41.62,41.79,2364240
13,TCEHY,2018-09-25,42.15,42.34,41.88,42.18,2591872
14,TCEHY,2018-09-26,42.2,42.64,41.99,42.03,4269095
15,TCEHY,2018-09-27,41.79,41.79,41.39,41.54,4430137
16,TCEHY,2018-09-28,41.0,41.15,40.63,40.84,4068594
17,TCEHY,2018-10-01,41.04,41.36,40.9,41.16,2820421
18,TCEHY,2018-10-02,40.5,40.5,40.0,40.23,4038030
19,TCEHY,2018-10-03,40.5,40.6,39.81,39.93,3943320
20,TCEHY,2018-10-04,39.58,39.58,38.42,38.62,6321806
21,TCEHY,2018-10-05,38.75,38.98,38.14,38.93,5033932
22,TCEHY,2018-10-08,37.99,38.6,37.76,38.5,4614409
23,TCEHY,2018-10-09,37.64,37.67,37.0,37.05,8261625
24,TCEHY,2018-10-10,36.3,36.3,35.18,35.4,11682929
25,TCEHY,2018-10-11,34.27,35.65,34.26,35.05,14372127
26,TCEHY,2018-10-12,37.5,37.91,36.8,37.87,6899425
27,TCEHY,2018-10-15,36.27,36.63,35.87,36.15,4890528
28,TCEHY,2018-10-16,36.27,37.27,36.08,37.15,4229764
29,TCEHY,2018-10-17,36.98,36.98,36.12,36.46,2745274
30,TCEHY,2018-10-18,35.7,35.78,34.78,35.01,6378014
31,TCEHY,2018-10-19,36.19,36.35,35.51,35.72,3590343
32,TCEHY,2018-10-22,37.24,37.48,36.8,37.3,3585367
33,TCEHY,2018-10-23,35.1,36.57,35.0,36.1,7775566
34,TCEHY,2018-10-24,35.3,35.33,34.05,34.05,6904583
35,TCEHY,2018-10-25,34.31,34.98,34.15,34.94,5014479
36,TCEHY,2018-10-26,33.07,33.63,32.68,33.12,9837157
37,TCEHY,2018-10-29,33.24,33.29,31.73,32.15,10730873
38,TCEHY,2018-10-30,31.79,32.4,31.54,32.35,5641842
39,TCEHY,2018-10-31,34.1,34.56,32.51,34.33,7051530
40,TCEHY,2018-11-01,35.69,37.23,35.25,37.18,11069400
41,TCEHY,2018-11-02,38.69,38.74,37.18,37.85,8930732
42,TCEHY,2018-11-05,37.5,38.08,37.45,37.82,6735652
43,TCEHY,2018-11-06,37.1,37.87,37.01,37.4,4414649
44,TCEHY,2018-11-07,38.22,38.68,37.98,38.65,5928741
45,TCEHY,2018-11-08,37.35,37.37,36.3,36.5,7969132
46,TCEHY,2018-11-09,35.28,35.29,34.26,34.82,8848098
47,TCEHY,2018-11-12,34.29,34.32,33.4,33.73,4188926
48,TCEHY,2018-11-13,34.75,35.93,34.45,35.1,6534185
49,TCEHY,2018-11-14,36.71,37.22,36.46,36.6,9505314
50,TCEHY,2018-11-15,36.65,37.66,36.51,37.63,5070893
51,TCEHY,2018-11-16,37.07,37.73,36.95,37.47,3011152
52,TCEHY,2018-11-19,37.1,37.32,36.26,36.48,4382188
53,TCEHY,2018-11-20,34.87,36.05,34.3,35.53,4423356
54,TCEHY,2018-11-21,37.7,37.75,36.81,37.15,3188627
55,TCEHY,2018-11-23,37.03,37.28,36.88,37.03,794504
56,TCEHY,2018-11-26,38.56,38.68,38.24,38.3,3587901
57,TCEHY,2018-11-27,38.58,39.02,38.28,38.84,3010592
58,TCEHY,2018-11-28,40.28,41.1,38.84,41.02,6287072
59,TCEHY,2018-11-29,39.8,40.12,39.21,39.72,5179227
60,TCEHY,2018-11-30,40.14,40.14,39.35,40.08,3858504
61,TCEHY,2018-12-03,42.39,42.64,41.35,41.46,6944410
62,TCEHY,2018-12-04,41.95,42.11,40.26,40.6,5935860
63,TCEHY,2018-12-06,38.7,39.45,38.07,39.41,5508705
64,TCEHY,2018-12-07,40.12,40.63,39.52,39.68,8242075
65,TCEHY,2018-12-10,39.05,39.87,38.26,39.15,6641089
66,TCEHY,2018-12-11,40.3,40.38,39.52,40.03,3943999
67,TCEHY,2018-12-12,41.06,41.36,40.5,40.5,4802116
68,TCEHY,2018-12-13,40.41,40.54,39.85,40.19,4015783
69,TCEHY,2018-12-14,39.68,39.92,39.1,39.45,4190202
70,TCEHY,2018-12-17,39.29,39.3,38.23,38.26,5360996
71,TCEHY,2018-12-18,38.74,38.89,38.18,38.41,3104772
72,TCEHY,2018-12-19,38.6,39.1,37.37,37.895,4614193
73,TCEHY,2018-12-20,38.4,39.17,37.9,38.24,5662995
74,TCEHY,2018-12-21,40.28,40.6,39.33,39.54,9151525
75,TCEHY,2018-12-24,38.87,39.38,38.8,38.9,2329685
76,TCEHY,2018-12-26,39.2,39.98,38.3,39.98,4585260
77,TCEHY,2018-12-27,38.79,39.85,38.55,39.84,3796020
78,TCEHY,2018-12-28,39.92,40.1,39.21,39.42,3809898
