new_column,ts_code,trade_date,open,high,low,close,vol
0,TSLA,2018-09-06,284.8,291.17,278.88,280.95,7480760
1,TSLA,2018-09-07,260.1,268.35,252.25,263.24,22491931
2,TSLA,2018-09-10,273.26,286.03,271.0,285.5,14283528
3,TSLA,2018-09-11,279.47,282.0,273.55,279.44,9169989
4,TSLA,2018-09-12,281.44,292.5,278.65,290.54,10015427
5,TSLA,2018-09-13,288.02,295.0,285.18,289.46,6340336
6,TSLA,2018-09-14,288.76,297.33,286.52,295.2,6765612
7,TSLA,2018-09-17,290.04,300.87,288.13,294.84,6887577
8,TSLA,2018-09-18,296.69,302.64,275.5,284.96,16547522
9,TSLA,2018-09-19,280.51,300.0,280.5,299.02,8294917
10,TSLA,2018-09-20,303.56,305.98,293.33,298.33,7349422
11,TSLA,2018-09-21,297.7,300.58,295.37,299.1,5050478
12,TSLA,2018-09-24,298.48,303.0,293.58,299.68,4842961
13,TSLA,2018-09-25,300.0,304.6,296.5,300.99,4481729
14,TSLA,2018-09-26,301.91,313.89,301.11,309.58,7843216
15,TSLA,2018-09-27,312.9,314.96,306.91,307.52,8509084
16,TSLA,2018-09-28,270.26,278.0,260.56,264.77,33649700
17,TSLA,2018-10-01,305.77,311.44,301.05,310.7,21777597
18,TSLA,2018-10-02,313.95,316.84,299.15,301.02,11743511
19,TSLA,2018-10-03,303.33,304.6,291.57,294.8,7994988
20,TSLA,2018-10-04,293.95,294.0,277.67,281.83,9814212
21,TSLA,2018-10-05,274.65,274.88,260.0,261.95,17944537
22,TSLA,2018-10-08,264.52,267.76,249.0,250.56,13472653
23,TSLA,2018-10-09,255.25,266.77,253.3,262.8,12060574
24,TSLA,2018-10-10,264.61,265.51,247.77,256.88,12815278
25,TSLA,2018-10-11,257.53,262.25,249.03,252.23,8167738
26,TSLA,2018-10-12,261.0,261.99,252.01,258.78,7201404
27,TSLA,2018-10-15,259.06,263.28,254.54,259.59,6199965
28,TSLA,2018-10-16,265.7,277.38,262.24,276.59,9526401
29,TSLA,2018-10-17,282.4,282.7,265.8,271.78,8655542
30,TSLA,2018-10-18,269.29,271.0,263.0,263.91,5421184
31,TSLA,2018-10-19,267.39,269.66,253.5,260.0,9375549
32,TSLA,2018-10-22,260.68,261.86,252.59,260.95,5600260
33,TSLA,2018-10-23,263.87,297.93,262.1,294.14,19027753
34,TSLA,2018-10-24,301.05,304.44,285.73,288.5,20058258
35,TSLA,2018-10-25,317.22,321.0,301.01,314.86,20840724
36,TSLA,2018-10-26,308.25,339.9,306.65,330.9,27425520
37,TSLA,2018-10-29,337.47,347.16,326.5,334.85,14486027
38,TSLA,2018-10-30,328.39,337.9,322.26,329.9,9126704
39,TSLA,2018-10-31,332.54,342.0,329.1,337.32,7624348
40,TSLA,2018-11-01,338.26,347.84,334.73,344.28,8000132
41,TSLA,2018-11-02,343.74,349.2,340.91,346.41,7807971
42,TSLA,2018-11-05,340.5,343.96,330.14,341.4,7831048
43,TSLA,2018-11-06,339.07,348.8,336.09,341.06,6762889
44,TSLA,2018-11-07,343.34,351.18,340.8,348.16,7374522
45,TSLA,2018-11-08,348.5,357.58,348.44,351.4,7090674
46,TSLA,2018-11-09,349.0,354.0,345.23,350.51,5098846
47,TSLA,2018-11-12,348.37,349.78,330.34,331.28,6941523
48,TSLA,2018-11-13,333.16,344.7,332.2,338.73,5448597
49,TSLA,2018-11-14,342.7,347.11,337.15,344.0,5040287
50,TSLA,2018-11-15,342.33,348.58,339.04,348.44,4625719
51,TSLA,2018-11-16,345.19,355.7,345.12,354.31,7206191
