new_column,ts_code,trade_date,open,high,low,close,vol
0,UNH,2018-09-06,267.6,270.02,266.94,269.65,2556068
1,UNH,2018-09-07,269.64,271.16,267.51,268.28,2958324
2,UNH,2018-09-10,266.78,266.8,258.75,259.73,4145700
3,UNH,2018-09-11,257.92,261.418,257.4828,261.04,2283313
4,UNH,2018-09-12,261.12,264.49,260.85,262.67,2236267
5,UNH,2018-09-13,264.16,265.69,263.42,265.49,2734504
6,UNH,2018-09-14,265.4,266.65,263.28,265.31,2084640
7,UNH,2018-09-17,266.5,266.66,263.41,263.87,1940361
8,UNH,2018-09-18,262.93,264.09,262.0,263.29,3557116
9,UNH,2018-09-19,264.47,265.61,263.16,265.33,2274307
10,UNH,2018-09-20,266.08,267.94,266.06,266.39,2094990
11,UNH,2018-09-21,266.1,267.84,265.85,266.67,5671802
12,UNH,2018-09-24,267.01,269.53,266.67,267.36,2699802
13,UNH,2018-09-25,267.3,267.33,263.03,263.51,3789664
14,UNH,2018-09-26,264.5,265.49,262.45,262.91,2237976
15,UNH,2018-09-27,263.0,265.41,262.93,264.65,2761357
16,UNH,2018-09-28,264.38,266.19,263.85,266.04,2875098
17,UNH,2018-10-01,267.25,270.02,267.02,269.1,3314889
18,UNH,2018-10-02,269.0,271.44,267.5,270.63,2777570
19,UNH,2018-10-03,272.0,272.07,269.77,270.9,3002336
20,UNH,2018-10-04,271.0,271.62,267.31,268.32,2186551
21,UNH,2018-10-05,268.65,271.0,267.95,269.2,2045692
22,UNH,2018-10-08,268.84,269.65,265.65,269.01,1864975
23,UNH,2018-10-09,269.19,271.96,268.47,270.11,2510398
24,UNH,2018-10-10,270.6,271.42,262.52,263.08,4267341
25,UNH,2018-10-11,262.0,264.4,255.78,257.12,4558462
26,UNH,2018-10-12,259.7,261.39,256.86,259.61,4006323
27,UNH,2018-10-15,260.13,262.44,259.31,260.25,3583446
28,UNH,2018-10-16,269.69,272.81,265.0,272.57,6453592
29,UNH,2018-10-17,270.19,271.0,265.63,267.3,3985133
30,UNH,2018-10-18,267.35,267.88,263.71,266.81,3132093
31,UNH,2018-10-19,266.62,267.98,263.89,265.3,3336617
32,UNH,2018-10-22,266.75,266.83,260.06,262.19,2618459
33,UNH,2018-10-23,259.72,265.52,259.2,264.86,4081802
34,UNH,2018-10-24,264.01,265.33,255.93,256.32,5265555
35,UNH,2018-10-25,258.16,265.18,253.37,264.24,4675643
36,UNH,2018-10-26,261.5,262.4,257.02,258.18,4830769
37,UNH,2018-10-29,259.72,262.04,253.32,256.52,3697710
38,UNH,2018-10-30,256.69,259.69,253.98,258.28,4169239
39,UNH,2018-10-31,260.87,264.07,260.22,261.35,4230215
40,UNH,2018-11-01,262.92,264.68,259.76,260.93,2771291
