new_column,ts_code,trade_date,open,high,low,close,vol
0,V,2018-09-06,143.29,144.7,142.54,144.5,9589246
1,V,2018-09-07,143.99,144.44,142.75,143.2,13626619
2,V,2018-09-10,144.13,144.44,143.21,144.08,5362684
3,V,2018-09-11,143.46,145.52,143.25,145.49,9896017
4,V,2018-09-12,145.85,146.8,145.07,146.57,6964135
5,V,2018-09-13,147.15,148.07,147.09,147.63,5803447
6,V,2018-09-14,147.91,148.37,147.35,147.84,4928283
7,V,2018-09-17,147.83,147.9,145.83,146.18,7708643
8,V,2018-09-18,146.2,148.09,145.95,147.63,5692208
9,V,2018-09-19,148.28,148.82,147.25,147.42,7432335
10,V,2018-09-20,147.99,149.49,147.2,149.24,7172740
11,V,2018-09-21,149.95,150.26,149.35,150.05,15628076
12,V,2018-09-24,149.16,149.65,147.27,149.11,6706692
13,V,2018-09-25,149.71,149.96,149.1,149.58,4230860
14,V,2018-09-26,150.0,150.42,149.04,149.27,5852463
15,V,2018-09-27,149.9,150.64,149.56,150.02,5868620
16,V,2018-09-28,149.81,150.37,149.55,150.09,6035936
17,V,2018-10-01,150.89,151.56,150.61,150.79,9802691
18,V,2018-10-02,150.84,150.84,149.17,149.67,8047706
19,V,2018-10-03,150.71,150.71,149.19,149.37,7521101
20,V,2018-10-04,149.18,149.28,146.1,146.76,9208887
21,V,2018-10-05,146.64,147.41,144.4,145.36,7085718
22,V,2018-10-08,145.01,145.01,140.18,141.89,11637314
23,V,2018-10-09,141.46,143.29,141.12,142.31,10798415
24,V,2018-10-10,142.57,142.69,135.21,135.52,15450100
25,V,2018-10-11,134.09,137.24,132.26,133.73,15657170
26,V,2018-10-12,138.48,140.98,137.43,140.06,12993257
27,V,2018-10-15,139.9,140.06,137.22,137.23,7953001
28,V,2018-10-16,138.71,142.14,138.68,141.74,11059518
29,V,2018-10-17,142.34,142.86,140.73,142.45,9170646
30,V,2018-10-18,142.46,142.46,137.95,139.29,10222553
31,V,2018-10-19,139.9,142.19,139.38,140.08,8696873
32,V,2018-10-22,140.97,141.54,139.51,140.64,6099509
