new_column,ts_code,trade_date,open,high,low,close,vol
0,WMT,2018-09-06,96.53,96.72,96.01,96.45,6150827
1,WMT,2018-09-07,95.8,96.48,95.64,95.83,6672449
2,WMT,2018-09-10,96.11,97.19,96.09,96.9,8332399
3,WMT,2018-09-11,97.27,97.66,96.49,96.64,6463535
4,WMT,2018-09-12,96.26,96.74,95.93,95.97,5900027
5,WMT,2018-09-13,95.32,95.62,94.91,95.12,7652921
6,WMT,2018-09-14,94.53,94.84,94.35,94.59,6319383
7,WMT,2018-09-17,94.75,95.48,94.37,94.82,5329819
8,WMT,2018-09-18,94.46,95.59,94.15,95.43,6760152
9,WMT,2018-09-19,95.57,95.89,94.88,95.24,5675135
10,WMT,2018-09-20,95.35,95.79,94.95,95.75,5552332
11,WMT,2018-09-21,95.92,96.29,95.63,95.9,9530133
12,WMT,2018-09-24,95.44,96.0,94.86,94.92,5336981
13,WMT,2018-09-25,95.99,96.52,94.99,95.1,6193224
14,WMT,2018-09-26,95.1,95.59,94.52,94.59,5918606
15,WMT,2018-09-27,94.19,94.96,93.82,94.13,5363446
16,WMT,2018-09-28,94.28,94.37,93.69,93.91,6306274
17,WMT,2018-10-01,94.29,94.66,94.04,94.4,4995466
18,WMT,2018-10-02,93.93,95.61,93.85,95.15,7754550
19,WMT,2018-10-03,95.5,95.54,94.04,94.07,6327390
20,WMT,2018-10-04,94.07,94.5,93.2,94.21,6045259
21,WMT,2018-10-05,93.86,94.19,92.89,93.31,6693436
22,WMT,2018-10-08,93.25,94.93,93.02,94.69,5762769
23,WMT,2018-10-09,95.64,97.74,95.19,97.08,11598892
24,WMT,2018-10-10,96.6,97.85,95.7,95.76,9002831
25,WMT,2018-10-11,95.81,96.29,93.6,93.92,9926549
26,WMT,2018-10-12,94.76,95.17,93.67,94.81,8553947
27,WMT,2018-10-15,94.5,94.99,93.82,93.82,8305499
28,WMT,2018-10-16,94.7,96.07,94.34,95.81,11241700
29,WMT,2018-10-17,95.18,96.62,94.9,96.56,9539386
30,WMT,2018-10-18,96.4,97.25,95.74,96.17,11398373
31,WMT,2018-10-19,96.0,97.65,96.0,97.15,8950724
