new_column,ts_code,trade_date,open,high,low,close,vol
0,XOM,2018-09-06,81.11,81.64,80.34,80.46,13320645
1,XOM,2018-09-07,80.15,81.93,79.82,81.83,16417783
2,XOM,2018-09-10,82.24,82.74,81.66,81.71,10817038
3,XOM,2018-09-11,81.96,83.19,81.63,82.86,11891917
4,XOM,2018-09-12,83.25,83.78,82.87,83.13,11556657
5,XOM,2018-09-13,83.15,83.25,82.01,82.32,11162714
6,XOM,2018-09-14,82.42,83.15,82.27,82.92,9442579
7,XOM,2018-09-17,83.0,83.61,82.99,83.41,8403325
8,XOM,2018-09-18,83.9,84.13,83.45,83.63,9219890
9,XOM,2018-09-19,83.64,84.77,83.64,84.63,10413591
10,XOM,2018-09-20,84.86,85.34,84.54,84.82,11198171
11,XOM,2018-09-21,85.01,85.43,84.52,85.17,26639437
12,XOM,2018-09-24,85.79,87.09,85.72,86.6,13549454
13,XOM,2018-09-25,87.03,87.36,86.37,86.5,12200690
14,XOM,2018-09-26,86.02,86.5,85.69,85.78,10275498
15,XOM,2018-09-27,86.09,86.38,85.59,85.77,7895430
16,XOM,2018-09-28,85.25,85.93,84.99,85.02,9884941
17,XOM,2018-10-01,85.35,86.03,85.26,85.81,8568210
18,XOM,2018-10-02,85.8,86.67,85.62,86.46,8453138
19,XOM,2018-10-03,86.51,86.89,85.98,86.15,10206722
20,XOM,2018-10-04,85.5,86.08,85.25,85.58,10204586
21,XOM,2018-10-05,85.31,85.7,84.93,85.34,9217393
22,XOM,2018-10-08,84.79,86.31,84.65,86.13,13242364
23,XOM,2018-10-09,86.38,86.88,85.74,86.51,10177885
24,XOM,2018-10-10,86.73,86.82,84.5,84.52,16573426
25,XOM,2018-10-11,83.94,84.17,81.17,81.6,20320055
26,XOM,2018-10-12,82.13,82.24,80.27,81.38,15216300
27,XOM,2018-10-15,81.38,81.74,80.82,80.82,10558752
28,XOM,2018-10-16,80.51,81.27,80.01,81.2,9781778
29,XOM,2018-10-17,80.94,81.52,80.34,81.5,12247748
30,XOM,2018-10-18,81.2,82.47,81.2,81.85,17448566
31,XOM,2018-10-19,81.66,82.46,81.51,81.97,12098692
32,XOM,2018-10-22,82.0,82.18,80.64,81.15,9474105
33,XOM,2018-10-23,80.06,80.46,78.72,79.84,15465125
34,XOM,2018-10-24,80.13,80.26,77.55,77.62,16085735
35,XOM,2018-10-25,78.49,79.05,77.74,78.31,12315457
36,XOM,2018-10-26,77.87,78.41,76.96,77.53,18160517
37,XOM,2018-10-29,78.07,78.43,76.22,77.05,15707035
38,XOM,2018-10-30,77.62,79.03,77.42,78.78,17758234
39,XOM,2018-10-31,79.34,80.35,78.9,79.68,16629070
40,XOM,2018-11-01,79.83,80.75,79.3,80.67,14159250
41,XOM,2018-11-02,81.76,82.45,80.23,81.95,19350357
42,XOM,2018-11-05,82.5,82.87,81.44,81.64,15814958
43,XOM,2018-11-06,81.74,82.1,81.35,81.99,9063313
44,XOM,2018-11-07,82.21,83.14,81.66,83.03,12699787
45,XOM,2018-11-08,83.13,83.75,81.54,81.71,16865480
46,XOM,2018-11-09,80.26,81.4,79.69,80.87,15070124
47,XOM,2018-11-12,81.66,81.73,79.73,79.83,11906573
48,XOM,2018-11-13,79.8,79.85,77.64,78.0,15530229
49,XOM,2018-11-14,78.86,79.09,76.75,77.39,18552107
50,XOM,2018-11-15,76.67,78.19,75.91,78.19,18976021
51,XOM,2018-11-16,78.37,79.19,78.1,78.96,13704889
52,XOM,2018-11-19,78.46,79.36,78.43,79.22,9430819
53,XOM,2018-11-20,78.42,78.9,76.37,76.97,15533723
54,XOM,2018-11-21,77.43,78.38,77.26,77.56,9685726
55,XOM,2018-11-23,76.05,76.2,74.7,75.49,10875425
56,XOM,2018-11-26,76.24,77.32,76.12,76.98,13741093
57,XOM,2018-11-27,76.57,77.45,76.4,77.05,10344600
58,XOM,2018-11-28,77.04,78.45,76.84,78.45,11482133
59,XOM,2018-11-29,78.22,79.53,78.19,79.06,10255232
60,XOM,2018-11-30,78.45,79.6,78.32,79.5,14040141
